superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-75,-75,-77,-78,-69,-75,-54,-65,-75,-78,2,0,0
1,-73,-75,-100,-77,-69,-75,-55,-65,-76,-79,2,0,0
2,-74,-75,-77,-77,-69,-74,-54,-65,-75,-79,2,0,0
4,-74,-74,-76,-77,-69,-76,-54,-65,-75,-80,2,0,0
5,-73,-75,-76,-78,-69,-75,-54,-65,-75,-79,2,0,0
6,-74,-75,-77,-78,-70,-76,-54,-65,-76,-79,2,0,0
7,-74,-75,-77,-77,-70,-75,-53,-64,-76,-82,2,0,0
8,-74,-75,-77,-77,-70,-76,-54,-65,-76,-79,2,0,0
9,-74,-75,-77,-77,-70,-75,-53,-64,-76,-80,2,0,0
10,-75,-75,-76,-78,-70,-76,-54,-65,-76,-77,2,0,0
11,-74,-75,-77,-77,-69,-74,-54,-65,-77,-81,2,0,0
12,-74,-75,-77,-77,-69,-75,-54,-65,-76,-78,2,0,0
13,-75,-75,-77,-77,-70,-74,-54,-64,-76,-79,2,0,0
14,-74,-75,-77,-77,-69,-75,-54,-66,-76,-81,2,0,0
15,-75,-75,-76,-77,-70,-75,-100,-64,-76,-80,2,0,0
16,-74,-75,-77,-77,-69,-75,-54,-65,-75,-77,2,0,0
17,-74,-75,-77,-77,-69,-75,-54,-64,-76,-80,2,0,0
18,-74,-75,-76,-77,-68,-74,-55,-65,-77,-80,2,0,0
19,-74,-74,-76,-77,-69,-74,-54,-64,-75,-81,2,0,0
20,-73,-74,-77,-78,-69,-74,-53,-66,-76,-79,2,0,0
21,-74,-74,-76,-78,-69,-75,-54,-65,-76,-79,2,0,0
22,-74,-74,-77,-77,-69,-74,-54,-65,-75,-79,2,0,0
23,-74,-74,-77,-77,-69,-74,-54,-65,-75,-79,2,0,0
24,-74,-75,-77,-77,-69,-73,-53,-64,-76,-80,2,0,0
25,-74,-76,-77,-77,-70,-74,-54,-65,-76,-78,2,0,0
26,-74,-75,-77,-77,-70,-73,-53,-65,-74,-77,2,0,0
27,-75,-74,-76,-77,-69,-73,-54,-65,-75,-78,2,0,0
28,-75,-74,-77,-77,-70,-73,-54,-65,-77,-81,2,0,0
29,-75,-74,-77,-77,-70,-75,-54,-65,-75,-79,2,0,0
30,-75,-75,-77,-77,-70,-74,-54,-64,-75,-80,2,0,0
31,-76,-76,-77,-77,-69,-75,-54,-65,-75,-78,2,0,0
32,-75,-74,-77,-76,-69,-75,-54,-65,-75,-80,2,0,0
33,-74,-75,-77,-77,-69,-73,-54,-65,-75,-78,2,0,0
34,-74,-75,-77,-76,-70,-72,-54,-64,-75,-79,2,0,0
35,-75,-75,-76,-76,-68,-76,-54,-65,-75,-82,2,0,0
36,-75,-75,-76,-77,-69,-79,-53,-64,-76,-82,2,0,0
37,-100,-100,-100,-100,-100,-100,-53,-65,-100,-100,2,0,0
38,-75,-76,-76,-78,-68,-76,-54,-65,-76,-79,2,0,0
39,-75,-77,-76,-78,-68,-74,-54,-65,-77,-79,2,0,0
40,-75,-76,-77,-79,-69,-75,-53,-65,-75,-80,2,0,0
41,-74,-76,-78,-78,-69,-73,-53,-65,-76,-80,2,0,0
42,-75,-74,-78,-79,-68,-74,-54,-64,-76,-80,2,0,0
43,-74,-75,-78,-78,-68,-72,-53,-65,-75,-78,2,0,0
44,-74,-75,-77,-77,-69,-73,-54,-65,-74,-79,2,0,0
45,-74,-74,-78,-77,-69,-71,-54,-65,-77,-83,2,0,0
46,-74,-74,-77,-77,-69,-72,-54,-65,-75,-79,2,0,0
47,-76,-76,-77,-78,-69,-71,-54,-64,-75,-78,2,0,0
48,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,2,0,0
49,-75,-75,-78,-77,-70,-72,-53,-65,-76,-81,2,0,0
50,-74,-76,-76,-76,-70,-72,-54,-65,-75,-77,2,0,0
51,-74,-74,-78,-76,-69,-75,-54,-64,-75,-79,2,0,0
52,-75,-75,-78,-76,-70,-75,-54,-65,-76,-81,2,0,0
53,-75,-75,-75,-77,-70,-75,-53,-64,-75,-81,2,0,0
54,-75,-74,-77,-76,-71,-75,-54,-65,-75,-78,2,0,0
55,-75,-74,-77,-77,-71,-74,-54,-65,-75,-77,2,0,0
56,-76,-76,-78,-77,-70,-74,-55,-65,-75,-79,2,0,0
57,-76,-75,-77,-78,-73,-74,-54,-65,-76,-77,2,0,0
58,-76,-76,-78,-77,-68,-75,-54,-65,-77,-79,2,0,0
59,-75,-75,-76,-77,-68,-75,-54,-65,-78,-79,2,0,0
60,-74,-76,-76,-78,-70,-76,-53,-65,-75,-79,2,0,0
61,-75,-77,-78,-76,-71,-75,-54,-65,-75,-78,2,0,0
62,-75,-77,-78,-78,-69,-74,-53,-64,-77,-82,2,0,0
63,-74,-75,-77,-77,-69,-75,-55,-65,-75,-80,2,0,0
64,-74,-74,-77,-77,-69,-75,-54,-64,-76,-78,2,0,0
65,-75,-75,-78,-77,-69,-75,-55,-65,-77,-77,2,0,0
66,-74,-76,-77,-100,-69,-74,-53,-65,-76,-78,2,0,0
67,-75,-75,-78,-77,-69,-76,-54,-65,-75,-77,2,0,0
68,-74,-76,-77,-77,-70,-75,-54,-64,-77,-78,2,0,0
69,-74,-75,-77,-77,-69,-74,-54,-65,-77,-79,2,0,0
70,-75,-74,-77,-77,-70,-74,-54,-64,-74,-81,2,0,0
71,-75,-75,-77,-77,-69,-75,-54,-65,-74,-78,2,0,0
72,-75,-75,-77,-78,-68,-74,-54,-65,-75,-80,2,0,0
73,-75,-75,-76,-77,-68,-74,-55,-65,-76,-81,2,0,0
74,-75,-75,-77,-77,-69,-74,-54,-64,-75,-78,2,0,0
75,-75,-75,-77,-77,-69,-73,-100,-65,-76,-80,2,0,0
76,-75,-75,-77,-77,-69,-74,-54,-65,-74,-83,2,0,0
77,-100,-100,-100,-100,-100,-100,-54,-65,-100,-100,2,0,0
78,-75,-75,-77,-77,-69,-74,-53,-65,-76,-79,2,0,0
79,-75,-75,-77,-77,-70,-74,-54,-64,-77,-81,2,0,0
80,-75,-75,-77,-77,-69,-74,-54,-65,-77,-79,2,0,0
81,-75,-75,-77,-77,-69,-74,-53,-65,-76,-78,2,0,0
82,-75,-74,-77,-78,-69,-74,-54,-66,-77,-77,2,0,0
83,-75,-75,-77,-77,-69,-73,-54,-66,-78,-79,2,0,0
84,-75,-75,-77,-77,-69,-74,-54,-65,-77,-78,2,0,0
