superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-77,-75,-83,-100,-71,-87,-56,-62,-73,-70,2,0,0
1,-77,-74,-81,-100,-72,-91,-55,-62,-73,-70,2,0,0
2,-78,-73,-82,-100,-73,-100,-55,-62,-73,-69,2,0,0
4,-100,-100,-100,-100,-100,-100,-55,-62,-100,-70,2,0,0
5,-78,-73,-83,-100,-73,-100,-55,-62,-74,-70,2,0,0
6,-77,-73,-82,-100,-72,-100,-55,-63,-73,-70,2,0,0
7,-78,-73,-83,-100,-73,-100,-54,-62,-73,-70,2,0,0
8,-77,-73,-83,-86,-72,-100,-54,-62,-73,-70,2,0,0
9,-77,-74,-84,-88,-73,-100,-55,-63,-72,-70,2,0,0
10,-78,-74,-83,-100,-73,-100,-54,-63,-72,-70,2,0,0
11,-78,-72,-84,-100,-72,-100,-55,-62,-74,-70,2,0,0
12,-77,-72,-84,-100,-73,-100,-55,-63,-72,-70,2,0,0
13,-77,-72,-84,-86,-74,-88,-55,-64,-72,-70,2,0,0
14,-77,-73,-82,-86,-73,-89,-56,-63,-73,-70,2,0,0
15,-76,-72,-82,-86,-73,-100,-55,-62,-73,-70,2,0,0
16,-77,-73,-83,-100,-74,-100,-54,-62,-72,-70,2,0,0
17,-77,-74,-83,-100,-73,-87,-55,-62,-74,-69,2,0,0
18,-77,-74,-83,-100,-73,-100,-56,-62,-72,-70,2,0,0
19,-77,-73,-83,-100,-74,-85,-54,-62,-72,-70,2,0,0
20,-77,-73,-84,-86,-74,-87,-55,-62,-72,-69,2,0,0
21,-79,-75,-83,-100,-73,-85,-55,-100,-72,-70,2,0,0
22,-100,-100,-100,-100,-100,-100,-55,-62,-100,-69,2,0,0
23,-77,-75,-83,-88,-74,-89,-55,-62,-72,-69,2,0,0
24,-78,-76,-84,-85,-73,-85,-55,-62,-72,-69,2,0,0
25,-77,-76,-84,-100,-72,-83,-55,-62,-72,-69,2,0,0
26,-78,-75,-84,-100,-73,-87,-55,-62,-73,-70,2,0,0
27,-78,-75,-85,-87,-73,-86,-54,-62,-73,-69,2,0,0
28,-77,-75,-83,-91,-72,-85,-55,-63,-73,-69,2,0,0
29,-78,-74,-81,-100,-73,-88,-55,-63,-72,-70,2,0,0
30,-78,-75,-82,-100,-73,-88,-55,-62,-73,-69,2,0,0
31,-78,-74,-81,-100,-73,-88,-55,-63,-73,-70,2,0,0
32,-77,-75,-84,-100,-74,-100,-54,-62,-73,-70,2,0,0
33,-100,-100,-100,-100,-100,-100,-55,-62,-100,-70,2,0,0
34,-78,-74,-83,-100,-74,-100,-55,-63,-73,-70,2,0,0
35,-77,-74,-81,-100,-73,-100,-55,-63,-74,-70,2,0,0
36,-78,-74,-82,-100,-74,-100,-55,-62,-73,-70,2,0,0
37,-77,-74,-86,-100,-73,-89,-55,-62,-72,-70,2,0,0
38,-77,-74,-85,-100,-73,-100,-54,-62,-73,-70,2,0,0
39,-77,-74,-83,-100,-100,-100,-55,-62,-74,-70,2,0,0
40,-78,-75,-85,-100,-100,-87,-55,-62,-73,-69,2,0,0
41,-77,-74,-83,-100,-100,-100,-55,-62,-73,-70,2,0,0
42,-77,-74,-83,-100,-100,-100,-54,-62,-73,-70,2,0,0
43,-77,-75,-81,-100,-74,-84,-55,-63,-74,-69,2,0,0
44,-78,-75,-81,-100,-72,-88,-55,-62,-73,-70,2,0,0
45,-78,-74,-82,-100,-72,-85,-54,-63,-74,-70,2,0,0
46,-77,-75,-84,-100,-72,-87,-55,-63,-73,-70,2,0,0
47,-78,-75,-83,-100,-73,-100,-54,-62,-73,-70,2,0,0
48,-77,-75,-81,-100,-72,-100,-55,-63,-73,-70,2,0,0
49,-76,-75,-82,-100,-72,-100,-55,-63,-73,-70,2,0,0
50,-77,-75,-81,-100,-71,-100,-54,-62,-72,-71,2,0,0
51,-75,-100,-100,-100,-100,-100,-55,-63,-73,-71,2,0,0
52,-75,-75,-82,-100,-72,-84,-55,-63,-73,-71,2,0,0
53,-76,-75,-81,-100,-72,-85,-55,-62,-72,-71,2,0,0
54,-76,-75,-82,-100,-71,-84,-54,-63,-75,-70,2,0,0
55,-75,-75,-82,-100,-71,-85,-54,-62,-72,-70,2,0,0
56,-76,-76,-81,-100,-73,-86,-55,-63,-72,-70,2,0,0
57,-75,-76,-82,-100,-72,-100,-56,-63,-74,-69,2,0,0
58,-75,-76,-83,-100,-72,-84,-55,-62,-73,-70,2,0,0
59,-76,-76,-85,-100,-73,-84,-54,-62,-73,-70,2,0,0
60,-76,-76,-83,-100,-73,-83,-56,-63,-72,-69,2,0,0
61,-77,-76,-84,-100,-73,-85,-55,-62,-72,-70,2,0,0
62,-76,-75,-83,-100,-72,-100,-56,-62,-73,-69,2,0,0
63,-77,-75,-82,-100,-72,-100,-55,-62,-72,-70,2,0,0
64,-78,-76,-85,-100,-72,-100,-55,-62,-72,-69,2,0,0
65,-76,-75,-84,-100,-72,-100,-55,-63,-72,-70,2,0,0
66,-77,-76,-85,-100,-72,-82,-55,-63,-73,-70,2,0,0
67,-76,-77,-88,-100,-72,-82,-55,-62,-73,-70,2,0,0
68,-76,-78,-85,-100,-72,-100,-55,-62,-72,-70,2,0,0
69,-77,-77,-87,-100,-73,-83,-54,-62,-73,-70,2,0,0
70,-76,-77,-100,-100,-73,-100,-55,-62,-73,-70,2,0,0
71,-76,-76,-86,-100,-73,-79,-55,-63,-73,-70,2,0,0
72,-76,-78,-84,-100,-72,-81,-54,-62,-72,-71,2,0,0
73,-75,-78,-100,-100,-72,-76,-54,-62,-74,-70,2,0,0
74,-77,-76,-85,-85,-72,-76,-55,-62,-72,-70,2,0,0
75,-77,-76,-85,-83,-72,-73,-54,-62,-73,-100,2,0,0
76,-76,-76,-84,-83,-72,-77,-55,-63,-74,-100,2,0,0
77,-76,-76,-100,-85,-72,-79,-55,-62,-72,-100,2,0,0
78,-77,-77,-84,-84,-72,-80,-55,-63,-100,-70,2,0,0
79,-77,-76,-85,-83,-72,-81,-55,-62,-74,-70,2,0,0
80,-100,-100,-100,-100,-100,-100,-55,-63,-100,-70,2,0,0
81,-77,-77,-85,-85,-73,-81,-54,-62,-73,-70,2,0,0
82,-77,-76,-84,-83,-73,-84,-56,-63,-74,-69,2,0,0
83,-77,-77,-86,-84,-72,-83,-56,-63,-72,-69,2,0,0
84,-77,-77,-83,-84,-73,-80,-54,-62,-72,-69,2,0,0
85,-77,-76,-86,-82,-73,-80,-56,-62,-73,-69,2,0,0
86,-77,-76,-85,-100,-72,-80,-55,-62,-73,-70,2,0,0
87,-77,-76,-84,-82,-100,-80,-55,-63,-73,-70,2,0,0
88,-77,-76,-82,-83,-100,-82,-55,-62,-72,-69,2,0,0
89,-77,-76,-82,-82,-100,-82,-55,-62,-73,-69,2,0,0
90,-76,-77,-84,-84,-100,-80,-55,-62,-73,-69,2,0,0
