superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
0,-54,-63,-87,-82,-68,-65,-64,-64,-61,-62,1,0
1,-53,-63,-86,-81,-67,-64,-64,-63,-60,-62,1,0
2,-53,-63,-87,-81,-67,-64,-64,-63,-60,-61,1,0
4,-53,-63,-88,-81,-67,-65,-64,-63,-60,-62,1,0
5,-53,-63,-86,-81,-67,-65,-64,-63,-60,-62,1,0
6,-53,-63,-100,-81,-67,-64,-64,-63,-60,-61,1,0
7,-53,-63,-86,-81,-67,-64,-64,-63,-60,-62,1,0
8,-53,-63,-87,-81,-67,-64,-64,-63,-60,-61,1,0
9,-53,-63,-86,-81,-67,-64,-64,-63,-60,-62,1,0
10,-53,-63,-85,-100,-67,-64,-64,-63,-60,-62,1,0
11,-53,-63,-86,-81,-67,-64,-64,-63,-60,-62,1,0
12,-53,-63,-100,-81,-67,-64,-64,-63,-60,-62,1,0
13,-53,-63,-86,-81,-67,-64,-63,-63,-60,-62,1,0
14,-53,-62,-86,-82,-67,-64,-63,-63,-60,-61,1,0
15,-53,-62,-85,-82,-66,-64,-63,-62,-59,-61,1,0
16,-53,-61,-100,-82,-67,-64,-62,-64,-60,-62,1,0
17,-53,-61,-87,-83,-65,-64,-62,-64,-60,-62,1,0
18,-54,-61,-100,-83,-63,-65,-63,-64,-61,-61,1,0
19,-54,-61,-87,-82,-64,-66,-65,-64,-61,-61,1,0
20,-54,-62,-100,-80,-64,-65,-67,-64,-60,-61,1,0
21,-52,-62,-88,-85,-63,-64,-65,-63,-58,-62,1,0
22,-52,-65,-81,-80,-67,-65,-66,-62,-62,-60,1,0
23,-53,-63,-83,-81,-63,-68,-64,-62,-60,-61,1,0
24,-53,-63,-83,-84,-61,-63,-67,-60,-60,-61,1,0
25,-53,-62,-100,-100,-64,-70,-67,-65,-57,-60,1,0
26,-53,-64,-77,-100,-67,-64,-73,-62,-58,-60,1,0
27,-53,-62,-81,-100,-66,-70,-74,-61,-59,-62,1,0
28,-52,-60,-78,-84,-62,-65,-75,-62,-63,-58,1,0
29,-52,-61,-77,-76,-61,-64,-69,-63,-60,-62,1,0
30,-52,-62,-81,-75,-62,-64,-67,-64,-62,-65,1,0
31,-53,-62,-83,-75,-64,-100,-66,-64,-61,-66,1,0
32,-53,-62,-100,-75,-66,-100,-66,-65,-60,-65,1,0
33,-53,-100,-100,-75,-66,-100,-66,-65,-61,-64,1,0
34,-53,-100,-87,-75,-67,-100,-66,-64,-61,-64,1,0
35,-53,-62,-100,-75,-67,-66,-66,-65,-61,-64,1,0
36,-53,-62,-86,-76,-66,-66,-66,-64,-60,-64,1,0
37,-53,-100,-100,-100,-64,-63,-66,-65,-100,-64,1,0
38,-53,-100,-100,-100,-65,-66,-100,-62,-59,-60,1,0
39,-53,-63,-100,-100,-70,-66,-70,-64,-58,-59,1,0
40,-52,-63,-83,-78,-66,-66,-76,-63,-55,-61,1,0
