superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-100,-100,-100,-100,-63,-100,-64,-64,-100,-64,2,0,0
1,-77,-68,-73,-75,-63,-79,-63,-65,-84,-64,2,0,0
2,-76,-68,-73,-74,-63,-77,-64,-64,-85,-64,2,0,0
4,-77,-67,-73,-74,-63,-77,-64,-65,-100,-64,2,0,0
5,-77,-67,-73,-74,-63,-76,-64,-100,-100,-64,2,0,0
6,-77,-67,-73,-74,-63,-76,-64,-65,-100,-64,2,0,0
7,-77,-67,-73,-74,-63,-76,-64,-64,-100,-64,2,0,0
8,-77,-67,-73,-74,-63,-76,-64,-64,-100,-64,2,0,0
9,-77,-67,-73,-74,-63,-76,-64,-64,-100,-64,2,0,0
10,-77,-67,-73,-74,-63,-76,-65,-64,-86,-64,2,0,0
11,-77,-67,-73,-74,-63,-76,-64,-65,-85,-64,2,0,0
12,-77,-67,-73,-74,-63,-76,-64,-64,-84,-64,2,0,0
13,-77,-67,-73,-74,-63,-76,-65,-64,-84,-64,2,0,0
14,-77,-67,-73,-74,-63,-76,-64,-64,-83,-64,2,0,0
15,-77,-67,-73,-74,-63,-76,-64,-64,-83,-64,2,0,0
16,-77,-67,-73,-74,-63,-77,-65,-64,-84,-64,2,0,0
17,-77,-67,-73,-74,-63,-77,-64,-64,-84,-64,2,0,0
18,-77,-67,-73,-74,-63,-77,-64,-65,-84,-64,2,0,0
19,-77,-67,-74,-74,-63,-77,-65,-64,-84,-64,2,0,0
20,-77,-67,-74,-74,-63,-77,-64,-64,-85,-64,2,0,0
21,-77,-67,-74,-74,-63,-77,-64,-64,-100,-64,2,0,0
22,-77,-67,-74,-74,-63,-78,-65,-64,-100,-64,2,0,0
23,-77,-67,-74,-74,-63,-78,-64,-64,-100,-64,2,0,0
24,-77,-67,-74,-74,-63,-77,-64,-64,-100,-64,2,0,0
25,-76,-67,-74,-74,-63,-77,-65,-64,-84,-64,2,0,0
26,-76,-67,-73,-74,-63,-77,-64,-64,-85,-64,2,0,0
27,-77,-68,-74,-74,-63,-77,-64,-64,-85,-64,2,0,0
28,-76,-68,-73,-74,-63,-77,-65,-64,-85,-64,2,0,0
29,-76,-68,-74,-74,-63,-77,-63,-64,-86,-64,2,0,0
30,-77,-68,-74,-74,-63,-77,-64,-64,-100,-64,2,0,0
31,-76,-68,-73,-74,-63,-77,-65,-64,-100,-64,2,0,0
32,-76,-68,-73,-74,-63,-77,-63,-64,-85,-64,2,0,0
33,-76,-67,-73,-74,-63,-77,-64,-64,-83,-64,2,0,0
34,-76,-67,-73,-74,-63,-78,-65,-64,-82,-64,2,0,0
35,-76,-67,-73,-74,-63,-77,-64,-64,-80,-64,2,0,0
36,-77,-67,-73,-74,-63,-100,-64,-64,-80,-64,2,0,0
37,-76,-67,-73,-74,-63,-76,-64,-64,-80,-64,2,0,0
38,-77,-68,-73,-74,-63,-76,-64,-64,-80,-64,2,0,0
39,-77,-68,-73,-73,-62,-78,-64,-64,-81,-64,2,0,0
40,-76,-67,-74,-74,-63,-79,-66,-64,-81,-64,2,0,0
41,-77,-67,-74,-74,-63,-79,-64,-64,-80,-64,2,0,0
42,-76,-67,-73,-74,-63,-78,-64,-64,-80,-64,2,0,0
43,-76,-67,-72,-74,-63,-76,-65,-64,-81,-64,2,0,0
44,-76,-67,-72,-73,-63,-78,-64,-65,-80,-64,2,0,0
45,-76,-67,-73,-73,-64,-77,-64,-65,-79,-64,2,0,0
46,-76,-67,-74,-74,-64,-78,-65,-64,-80,-64,2,0,0
47,-76,-67,-73,-74,-64,-79,-63,-65,-82,-64,2,0,0
48,-76,-67,-74,-74,-64,-79,-64,-65,-83,-64,2,0,0
49,-75,-67,-74,-74,-64,-79,-65,-64,-84,-64,2,0,0
50,-76,-67,-74,-74,-64,-79,-64,-65,-83,-64,2,0,0
51,-76,-67,-74,-74,-64,-78,-64,-65,-83,-64,2,0,0
52,-76,-67,-74,-74,-64,-76,-65,-65,-80,-64,2,0,0
53,-77,-67,-73,-74,-64,-75,-63,-65,-81,-64,2,0,0
54,-76,-67,-73,-73,-64,-76,-64,-65,-79,-64,2,0,0
55,-75,-67,-73,-73,-64,-77,-65,-65,-78,-64,2,0,0
56,-75,-67,-73,-73,-64,-78,-63,-65,-81,-64,2,0,0
57,-75,-67,-73,-73,-63,-78,-64,-65,-81,-64,2,0,0
58,-75,-67,-73,-73,-63,-78,-66,-64,-83,-64,2,0,0
59,-75,-67,-73,-73,-63,-78,-64,-64,-84,-64,2,0,0
60,-76,-67,-74,-74,-63,-77,-64,-64,-81,-64,2,0,0
61,-76,-67,-74,-73,-62,-77,-65,-64,-83,-64,2,0,0
62,-76,-67,-74,-73,-63,-77,-64,-65,-81,-64,2,0,0
63,-76,-67,-75,-73,-63,-81,-64,-65,-85,-64,2,0,0
64,-76,-67,-75,-73,-63,-81,-65,-65,-87,-64,2,0,0
65,-76,-67,-76,-73,-63,-76,-64,-65,-82,-64,2,0,0
66,-76,-67,-76,-73,-63,-76,-63,-65,-83,-64,2,0,0
67,-75,-67,-76,-73,-63,-75,-64,-65,-83,-64,2,0,0
68,-75,-67,-75,-73,-63,-76,-64,-65,-83,-64,2,0,0
69,-75,-67,-75,-73,-63,-75,-64,-65,-82,-64,2,0,0
70,-76,-67,-75,-73,-63,-78,-65,-64,-87,-64,2,0,0
71,-75,-67,-74,-73,-63,-77,-63,-64,-100,-64,2,0,0
72,-76,-67,-75,-73,-63,-77,-64,-64,-83,-64,2,0,0
73,-75,-66,-74,-73,-63,-76,-65,-64,-79,-64,2,0,0
74,-75,-67,-74,-73,-63,-77,-64,-64,-81,-64,2,0,0
75,-76,-67,-75,-74,-63,-78,-65,-64,-82,-64,2,0,0
76,-75,-67,-75,-74,-63,-77,-64,-100,-84,-64,2,0,0
77,-75,-67,-75,-73,-64,-75,-63,-64,-83,-64,2,0,0
78,-75,-67,-74,-73,-63,-74,-65,-65,-81,-64,2,0,0
79,-75,-67,-74,-73,-63,-73,-64,-65,-79,-64,2,0,0
80,-75,-67,-74,-73,-64,-74,-64,-64,-79,-64,2,0,0
81,-76,-67,-74,-73,-64,-76,-64,-65,-81,-64,2,0,0
82,-76,-67,-74,-73,-63,-78,-64,-65,-87,-64,2,0,0
83,-76,-67,-74,-73,-64,-77,-63,-65,-87,-64,2,0,0
84,-76,-67,-74,-73,-64,-76,-64,-65,-88,-64,2,0,0
85,-76,-67,-74,-73,-64,-77,-66,-64,-100,-64,2,0,0
86,-76,-67,-74,-73,-63,-78,-64,-64,-84,-64,2,0,0
87,-75,-67,-74,-73,-63,-78,-64,-64,-85,-64,2,0,0
88,-76,-67,-75,-73,-63,-77,-65,-65,-84,-64,2,0,0
89,-76,-66,-75,-73,-63,-76,-64,-65,-83,-65,2,0,0
90,-76,-67,-75,-73,-63,-75,-64,-65,-81,-64,2,0,0
91,-77,-67,-74,-74,-63,-75,-64,-65,-82,-64,2,0,0
92,-76,-67,-75,-74,-63,-76,-64,-64,-80,-64,2,0,0
93,-76,-67,-74,-74,-63,-76,-64,-64,-80,-64,2,0,0
94,-76,-67,-74,-73,-63,-76,-64,-64,-79,-64,2,0,0
95,-76,-67,-74,-73,-62,-76,-66,-64,-79,-100,2,0,0
96,-76,-67,-74,-73,-63,-76,-64,-64,-79,-64,2,0,0
97,-76,-67,-74,-74,-63,-75,-64,-64,-79,-64,2,0,0
98,-76,-67,-74,-74,-63,-75,-64,-64,-79,-64,2,0,0
99,-76,-67,-75,-74,-63,-75,-65,-64,-79,-64,2,0,0
100,-77,-67,-75,-74,-63,-75,-64,-64,-79,-64,2,0,0
101,-77,-67,-75,-74,-63,-75,-64,-64,-80,-64,2,0,0
102,-77,-67,-75,-74,-63,-75,-65,-64,-81,-64,2,0,0
103,-77,-67,-75,-73,-63,-75,-64,-64,-81,-64,2,0,0
104,-77,-67,-74,-74,-63,-75,-64,-64,-81,-64,2,0,0
105,-77,-65,-75,-74,-63,-75,-66,-64,-82,-64,2,0,0
106,-77,-67,-75,-74,-63,-75,-64,-64,-82,-64,2,0,0
107,-77,-67,-75,-74,-63,-75,-64,-64,-84,-64,2,0,0
108,-77,-67,-74,-74,-63,-76,-64,-63,-83,-64,2,0,0
109,-77,-67,-74,-74,-63,-76,-64,-63,-83,-64,2,0,0
110,-77,-67,-74,-74,-63,-76,-64,-63,-83,-64,2,0,0
111,-76,-67,-74,-74,-63,-76,-64,-63,-82,-64,2,0,0
112,-77,-67,-74,-74,-63,-76,-64,-63,-82,-64,2,0,0
113,-76,-67,-74,-74,-63,-78,-65,-63,-79,-64,2,0,0
114,-76,-67,-74,-74,-62,-79,-64,-63,-82,-64,2,0,0
115,-77,-67,-75,-74,-63,-80,-63,-63,-85,-64,2,0,0
116,-77,-67,-75,-74,-63,-79,-64,-63,-84,-64,2,0,0
117,-76,-65,-75,-75,-63,-80,-63,-63,-78,-64,2,0,0
118,-75,-67,-75,-75,-63,-81,-63,-63,-77,-65,2,0,0
119,-75,-67,-75,-74,-63,-82,-63,-63,-77,-65,2,0,0
120,-75,-67,-75,-74,-63,-82,-64,-63,-78,-65,2,0,0
121,-75,-67,-75,-100,-63,-83,-63,-63,-78,-64,2,0,0
122,-75,-67,-75,-74,-63,-82,-62,-63,-79,-64,2,0,0
123,-76,-67,-75,-74,-63,-83,-64,-63,-78,-64,2,0,0
124,-76,-67,-74,-74,-63,-81,-64,-63,-78,-64,2,0,0
125,-76,-67,-73,-75,-63,-79,-62,-63,-78,-64,2,0,0
126,-76,-67,-74,-74,-63,-79,-63,-63,-79,-64,2,0,0
127,-75,-65,-73,-74,-63,-80,-64,-63,-78,-64,2,0,0
128,-76,-67,-74,-74,-63,-82,-63,-63,-76,-64,2,0,0
129,-76,-67,-74,-74,-63,-81,-63,-63,-77,-64,2,0,0
