superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-79,-75,-84,-100,-78,-78,-53,-64,-68,-65,2,0,0
1,-78,-75,-82,-86,-80,-77,-52,-64,-100,-65,2,0,0
2,-77,-75,-87,-86,-84,-76,-53,-65,-69,-65,2,0,0
4,-78,-75,-84,-87,-100,-77,-52,-64,-68,-65,2,0,0
5,-77,-76,-84,-86,-84,-76,-53,-64,-69,-65,2,0,0
6,-78,-77,-83,-85,-100,-77,-53,-64,-69,-65,2,0,0
7,-79,-77,-83,-100,-84,-81,-52,-64,-67,-65,2,0,0
8,-79,-77,-83,-100,-82,-79,-53,-64,-69,-65,2,0,0
9,-80,-77,-83,-87,-80,-79,-53,-64,-68,-65,2,0,0
10,-100,-78,-84,-84,-75,-81,-52,-64,-69,-65,2,0,0
11,-79,-78,-85,-100,-77,-77,-53,-64,-69,-65,2,0,0
12,-78,-79,-84,-86,-79,-77,-53,-64,-68,-65,2,0,0
13,-79,-78,-83,-100,-79,-76,-52,-64,-68,-65,2,0,0
14,-81,-76,-83,-100,-80,-76,-53,-64,-69,-65,2,0,0
15,-79,-76,-83,-100,-80,-77,-53,-64,-69,-65,2,0,0
16,-79,-76,-83,-87,-80,-76,-52,-64,-69,-64,2,0,0
17,-78,-76,-83,-100,-79,-76,-53,-64,-69,-65,2,0,0
18,-80,-76,-84,-87,-79,-77,-53,-64,-69,-65,2,0,0
19,-79,-76,-83,-87,-81,-77,-52,-64,-69,-65,2,0,0
20,-79,-75,-84,-87,-77,-75,-53,-65,-69,-65,2,0,0
21,-80,-76,-84,-89,-78,-77,-53,-64,-69,-65,2,0,0
22,-79,-75,-84,-86,-80,-77,-52,-64,-100,-65,2,0,0
23,-78,-76,-84,-100,-80,-76,-53,-65,-69,-65,2,0,0
24,-78,-75,-84,-88,-79,-77,-53,-64,-69,-65,2,0,0
25,-78,-75,-84,-88,-79,-77,-52,-64,-69,-64,2,0,0
26,-79,-76,-84,-100,-80,-77,-53,-64,-69,-65,2,0,0
27,-79,-76,-83,-100,-81,-78,-53,-64,-69,-65,2,0,0
28,-79,-76,-83,-100,-79,-77,-52,-64,-68,-65,2,0,0
29,-79,-76,-83,-100,-78,-76,-53,-64,-68,-64,2,0,0
30,-80,-76,-83,-88,-79,-77,-53,-64,-68,-64,2,0,0
31,-79,-76,-82,-88,-78,-77,-52,-64,-68,-65,2,0,0
32,-79,-76,-82,-87,-80,-76,-53,-64,-69,-64,2,0,0
33,-79,-76,-83,-100,-80,-77,-53,-65,-68,-64,2,0,0
34,-79,-76,-83,-88,-80,-76,-52,-64,-68,-65,2,0,0
35,-79,-76,-83,-88,-80,-76,-52,-64,-68,-64,2,0,0
36,-79,-76,-83,-87,-79,-76,-53,-65,-68,-64,2,0,0
37,-79,-76,-83,-88,-79,-76,-53,-64,-68,-64,2,0,0
38,-79,-76,-83,-87,-79,-76,-52,-64,-68,-65,2,0,0
39,-79,-75,-83,-86,-81,-76,-54,-64,-68,-65,2,0,0
40,-79,-75,-83,-100,-78,-76,-53,-65,-68,-65,2,0,0
41,-80,-76,-83,-100,-79,-76,-53,-65,-67,-65,2,0,0
42,-79,-75,-83,-87,-78,-75,-53,-65,-68,-65,2,0,0
43,-79,-75,-83,-87,-79,-76,-53,-64,-68,-65,2,0,0
44,-79,-75,-83,-100,-80,-76,-52,-64,-68,-65,2,0,0
45,-79,-75,-83,-87,-78,-76,-53,-65,-68,-65,2,0,0
46,-79,-75,-83,-88,-79,-76,-53,-65,-68,-65,2,0,0
47,-80,-75,-83,-100,-79,-76,-53,-64,-68,-65,2,0,0
48,-79,-75,-83,-100,-79,-77,-52,-64,-68,-65,2,0,0
49,-80,-75,-83,-100,-79,-76,-53,-65,-68,-64,2,0,0
50,-100,-100,-100,-100,-100,-100,-53,-64,-68,-64,2,0,0
51,-80,-76,-83,-100,-79,-77,-52,-64,-68,-65,2,0,0
52,-79,-76,-83,-100,-79,-76,-53,-65,-68,-64,2,0,0
53,-80,-76,-83,-88,-79,-77,-53,-64,-68,-64,2,0,0
54,-80,-76,-82,-100,-79,-77,-52,-64,-68,-65,2,0,0
55,-79,-76,-83,-100,-80,-77,-53,-65,-68,-64,2,0,0
56,-80,-76,-84,-100,-81,-78,-53,-64,-68,-64,2,0,0
57,-80,-77,-83,-88,-80,-78,-52,-64,-68,-65,2,0,0
58,-79,-76,-83,-100,-79,-77,-53,-65,-68,-64,2,0,0
59,-79,-76,-83,-100,-80,-78,-53,-64,-68,-65,2,0,0
60,-79,-76,-83,-89,-79,-77,-52,-64,-68,-65,2,0,0
61,-79,-76,-83,-88,-79,-76,-53,-64,-69,-65,2,0,0
62,-79,-76,-83,-88,-80,-77,-53,-64,-69,-65,2,0,0
63,-79,-76,-83,-100,-80,-78,-52,-64,-68,-65,2,0,0
64,-79,-76,-84,-100,-80,-78,-53,-65,-69,-64,2,0,0
65,-80,-76,-83,-100,-80,-78,-53,-65,-68,-65,2,0,0
66,-80,-76,-83,-89,-81,-78,-52,-64,-69,-65,2,0,0
67,-79,-76,-83,-100,-80,-77,-53,-65,-68,-65,2,0,0
68,-79,-76,-83,-100,-80,-78,-53,-64,-68,-65,2,0,0
69,-79,-76,-83,-89,-79,-77,-53,-64,-69,-65,2,0,0
70,-79,-76,-83,-100,-79,-77,-53,-65,-68,-65,2,0,0
71,-80,-76,-84,-88,-79,-78,-52,-64,-68,-65,2,0,0
72,-79,-76,-83,-100,-79,-78,-52,-64,-68,-65,2,0,0
73,-79,-76,-83,-100,-78,-78,-53,-64,-68,-65,2,0,0
74,-80,-76,-83,-100,-79,-78,-52,-64,-68,-65,2,0,0
75,-79,-76,-83,-100,-79,-78,-53,-64,-68,-65,2,0,0
76,-80,-76,-83,-88,-79,-77,-53,-64,-68,-65,2,0,0
77,-80,-76,-84,-88,-81,-78,-53,-64,-68,-65,2,0,0
78,-79,-76,-83,-100,-79,-78,-53,-64,-69,-65,2,0,0
79,-79,-76,-83,-100,-78,-77,-53,-64,-69,-65,2,0,0
80,-80,-75,-83,-88,-80,-78,-52,-65,-68,-65,2,0,0
81,-79,-76,-83,-100,-79,-79,-53,-64,-69,-65,2,0,0
82,-79,-76,-83,-100,-79,-78,-53,-65,-69,-65,2,0,0
83,-79,-75,-83,-100,-100,-78,-52,-64,-68,-65,2,0,0
84,-79,-76,-83,-100,-79,-79,-53,-64,-69,-65,2,0,0
85,-79,-76,-84,-100,-78,-77,-53,-65,-69,-65,2,0,0
86,-80,-75,-83,-100,-79,-78,-53,-64,-68,-65,2,0,0
87,-80,-76,-83,-100,-79,-79,-52,-64,-69,-65,2,0,0
88,-80,-76,-83,-100,-79,-78,-53,-65,-68,-65,2,0,0
89,-79,-76,-83,-100,-100,-79,-53,-65,-68,-65,2,0,0
90,-79,-76,-83,-100,-100,-78,-52,-64,-68,-65,2,0,0
91,-79,-76,-83,-100,-80,-78,-53,-65,-69,-64,2,0,0
92,-79,-76,-83,-100,-80,-79,-53,-64,-68,-64,2,0,0
93,-80,-76,-83,-87,-79,-78,-52,-64,-68,-65,2,0,0
94,-79,-76,-84,-88,-100,-78,-53,-65,-69,-64,2,0,0
95,-80,-76,-84,-100,-79,-78,-54,-64,-68,-64,2,0,0
96,-80,-76,-83,-87,-80,-79,-53,-64,-68,-65,2,0,0
97,-80,-76,-82,-87,-80,-77,-52,-64,-69,-65,2,0,0
