superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-84,-77,-100,-100,-69,-68,-57,-67,-64,-66,2,0,0
1,-83,-77,-75,-76,-69,-68,-56,-67,-63,-66,2,0,0
2,-83,-77,-76,-77,-69,-68,-57,-67,-63,-66,2,0,0
4,-83,-76,-76,-77,-69,-69,-57,-67,-63,-65,2,0,0
5,-83,-77,-75,-76,-69,-68,-56,-67,-64,-65,2,0,0
6,-83,-76,-76,-76,-68,-68,-56,-67,-64,-65,2,0,0
7,-84,-76,-76,-76,-69,-68,-58,-67,-63,-65,2,0,0
8,-83,-76,-76,-77,-69,-68,-57,-67,-64,-66,2,0,0
9,-82,-77,-76,-76,-69,-68,-56,-67,-64,-65,2,0,0
10,-84,-76,-76,-76,-69,-68,-57,-66,-64,-66,2,0,0
11,-83,-76,-76,-76,-69,-68,-57,-67,-63,-65,2,0,0
12,-83,-76,-76,-76,-69,-68,-57,-66,-64,-65,2,0,0
13,-84,-76,-76,-76,-69,-68,-56,-67,-64,-66,2,0,0
14,-82,-76,-76,-77,-69,-68,-57,-67,-63,-65,2,0,0
15,-83,-76,-76,-76,-69,-68,-56,-66,-64,-65,2,0,0
16,-84,-76,-76,-76,-69,-68,-57,-67,-64,-66,2,0,0
17,-83,-76,-76,-76,-100,-68,-57,-67,-64,-65,2,0,0
18,-83,-76,-76,-77,-69,-68,-57,-67,-64,-66,2,0,0
19,-83,-76,-76,-76,-68,-68,-56,-68,-64,-65,2,0,0
20,-83,-76,-76,-76,-69,-68,-57,-67,-64,-66,2,0,0
21,-82,-77,-76,-77,-68,-69,-57,-67,-64,-65,2,0,0
22,-82,-76,-76,-76,-68,-69,-57,-67,-64,-65,2,0,0
23,-82,-76,-75,-76,-68,-68,-57,-66,-100,-66,2,0,0
24,-82,-76,-75,-76,-68,-68,-56,-65,-64,-66,2,0,0
25,-82,-77,-75,-76,-68,-68,-57,-67,-63,-66,2,0,0
26,-83,-76,-76,-77,-68,-69,-56,-66,-64,-65,2,0,0
27,-82,-76,-76,-76,-69,-69,-56,-67,-64,-65,2,0,0
28,-82,-76,-75,-76,-69,-68,-57,-66,-64,-65,2,0,0
29,-82,-76,-76,-76,-68,-68,-56,-67,-64,-65,2,0,0
30,-82,-76,-76,-76,-68,-68,-57,-67,-64,-65,2,0,0
31,-83,-76,-75,-76,-69,-68,-57,-67,-64,-65,2,0,0
32,-82,-76,-76,-76,-68,-69,-57,-67,-64,-65,2,0,0
33,-82,-76,-76,-76,-68,-68,-57,-67,-64,-66,2,0,0
34,-82,-76,-76,-76,-69,-68,-56,-67,-64,-66,2,0,0
35,-82,-76,-76,-76,-68,-69,-57,-66,-64,-66,2,0,0
36,-83,-76,-75,-76,-68,-69,-57,-66,-64,-66,2,0,0
37,-82,-75,-76,-76,-69,-69,-57,-67,-64,-65,2,0,0
38,-84,-75,-75,-76,-69,-100,-57,-67,-64,-65,2,0,0
39,-83,-76,-75,-76,-68,-69,-56,-67,-64,-65,2,0,0
40,-84,-76,-75,-76,-68,-69,-57,-67,-64,-66,2,0,0
41,-83,-76,-75,-76,-69,-68,-57,-67,-63,-66,2,0,0
42,-83,-76,-76,-76,-68,-69,-57,-67,-64,-66,2,0,0
43,-83,-76,-76,-76,-68,-69,-56,-67,-64,-66,2,0,0
44,-82,-76,-76,-76,-69,-69,-57,-67,-63,-65,2,0,0
45,-83,-76,-75,-76,-69,-69,-57,-66,-64,-65,2,0,0
46,-82,-76,-75,-76,-68,-69,-56,-67,-64,-65,2,0,0
47,-83,-76,-76,-76,-68,-69,-57,-66,-64,-65,2,0,0
48,-83,-76,-75,-76,-69,-68,-57,-67,-63,-66,2,0,0
49,-83,-76,-75,-76,-69,-69,-57,-66,-64,-66,2,0,0
50,-84,-76,-100,-76,-68,-69,-56,-67,-64,-66,2,0,0
51,-83,-76,-76,-76,-69,-69,-56,-67,-63,-65,2,0,0
52,-83,-76,-75,-76,-69,-68,-57,-66,-64,-65,2,0,0
53,-83,-76,-75,-76,-69,-69,-56,-67,-100,-65,2,0,0
54,-85,-76,-76,-76,-69,-68,-57,-66,-64,-66,2,0,0
55,-84,-76,-75,-76,-69,-69,-56,-67,-64,-66,2,0,0
56,-84,-76,-75,-76,-69,-69,-57,-67,-64,-66,2,0,0
57,-84,-76,-76,-76,-68,-69,-56,-67,-64,-66,2,0,0
58,-83,-76,-75,-76,-69,-69,-57,-67,-63,-65,2,0,0
59,-83,-76,-75,-76,-69,-69,-57,-66,-64,-65,2,0,0
60,-83,-76,-75,-76,-68,-69,-56,-68,-64,-65,2,0,0
61,-84,-76,-76,-76,-69,-68,-57,-67,-64,-66,2,0,0
62,-84,-76,-75,-76,-69,-68,-57,-67,-63,-65,2,0,0
63,-84,-76,-75,-76,-69,-69,-57,-67,-64,-65,2,0,0
64,-84,-76,-76,-77,-69,-69,-56,-67,-64,-66,2,0,0
65,-83,-76,-75,-76,-69,-68,-57,-67,-64,-65,2,0,0
66,-82,-76,-75,-76,-69,-69,-56,-66,-64,-65,2,0,0
67,-83,-76,-75,-77,-68,-69,-56,-67,-64,-66,2,0,0
68,-83,-76,-75,-76,-69,-69,-57,-67,-64,-65,2,0,0
69,-84,-76,-75,-76,-69,-69,-57,-67,-64,-65,2,0,0
70,-82,-76,-75,-76,-68,-69,-57,-67,-64,-65,2,0,0
71,-84,-76,-75,-76,-69,-69,-57,-67,-64,-66,2,0,0
72,-83,-76,-75,-76,-69,-69,-57,-67,-64,-66,2,0,0
73,-84,-76,-75,-76,-68,-69,-57,-67,-64,-65,2,0,0
74,-84,-76,-76,-76,-68,-69,-56,-67,-64,-65,2,0,0
75,-83,-76,-76,-76,-69,-69,-57,-67,-64,-65,2,0,0
76,-82,-76,-76,-76,-69,-69,-57,-67,-64,-65,2,0,0
77,-84,-76,-76,-76,-69,-69,-57,-67,-64,-66,2,0,0
78,-83,-76,-76,-76,-69,-69,-57,-67,-64,-65,2,0,0
79,-100,-76,-76,-76,-69,-69,-58,-67,-64,-65,2,0,0
80,-100,-100,-100,-100,-67,-68,-55,-67,-64,-65,2,0,0
81,-84,-77,-76,-77,-69,-69,-57,-67,-64,-65,2,0,0
82,-84,-76,-76,-77,-69,-68,-57,-67,-63,-65,2,0,0
83,-83,-77,-75,-76,-68,-69,-57,-67,-64,-65,2,0,0
84,-84,-77,-75,-76,-68,-69,-57,-67,-63,-65,2,0,0
85,-83,-76,-75,-76,-68,-69,-56,-68,-63,-65,2,0,0
86,-84,-76,-76,-76,-68,-69,-57,-67,-63,-65,2,0,0
87,-84,-76,-76,-76,-68,-69,-56,-67,-64,-66,2,0,0
88,-83,-76,-76,-76,-69,-69,-57,-67,-63,-65,2,0,0
89,-82,-100,-76,-76,-69,-69,-57,-67,-63,-66,2,0,0
90,-84,-76,-75,-77,-69,-69,-57,-67,-64,-66,2,0,0
91,-83,-76,-76,-76,-69,-69,-57,-67,-63,-65,2,0,0
92,-83,-76,-76,-76,-69,-68,-57,-67,-64,-65,2,0,0
93,-84,-76,-75,-77,-68,-69,-56,-67,-64,-65,2,0,0
94,-84,-76,-76,-76,-69,-69,-58,-67,-64,-65,2,0,0
95,-84,-76,-75,-77,-69,-69,-56,-67,-64,-65,2,0,0
96,-83,-76,-75,-76,-68,-68,-56,-67,-64,-65,2,0,0
97,-84,-76,-76,-77,-69,-68,-57,-67,-63,-66,2,0,0
98,-84,-76,-75,-76,-69,-69,-57,-67,-63,-66,2,0,0
99,-83,-76,-76,-76,-68,-68,-57,-67,-63,-65,2,0,0
100,-83,-76,-75,-76,-69,-68,-56,-67,-64,-66,2,0,0
101,-83,-76,-76,-76,-69,-68,-57,-67,-63,-66,2,0,0
102,-82,-76,-100,-76,-69,-68,-56,-67,-63,-65,2,0,0
103,-84,-76,-76,-76,-69,-69,-57,-67,-64,-66,2,0,0
104,-83,-76,-75,-76,-69,-69,-56,-68,-63,-65,2,0,0
