superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
404,-77,-75,-79,-100,-66,-74,-53,-62,-64,-74,2
405,-77,-75,-79,-100,-66,-75,-53,-61,-64,-72,2
406,-76,-76,-79,-100,-66,-74,-53,-62,-63,-73,2
407,-76,-76,-79,-100,-66,-75,-53,-62,-64,-73,2
408,-77,-75,-80,-100,-66,-76,-53,-62,-63,-73,2
409,-76,-75,-79,-100,-66,-76,-54,-62,-63,-73,2
410,-76,-75,-79,-100,-65,-77,-53,-62,-63,-73,2
411,-76,-76,-79,-100,-66,-78,-53,-61,-63,-74,2
412,-77,-76,-79,-100,-66,-77,-54,-62,-63,-72,2
413,-77,-76,-79,-100,-66,-77,-54,-62,-63,-72,2
414,-77,-75,-100,-100,-66,-76,-53,-62,-63,-72,2
415,-77,-75,-79,-100,-66,-76,-54,-61,-63,-72,2
416,-77,-75,-79,-100,-66,-75,-54,-62,-64,-71,2
417,-77,-75,-79,-89,-66,-76,-54,-62,-63,-73,2
418,-77,-75,-79,-100,-66,-76,-54,-62,-64,-73,2
419,-77,-75,-79,-100,-66,-75,-53,-61,-63,-73,2
420,-77,-75,-79,-87,-66,-75,-54,-62,-64,-72,2
421,-77,-74,-79,-100,-66,-75,-53,-62,-64,-75,2
422,-77,-75,-79,-100,-66,-77,-54,-62,-64,-73,2
423,-76,-73,-80,-100,-66,-76,-54,-61,-64,-72,2
424,-77,-73,-80,-100,-67,-77,-53,-61,-63,-72,2
425,-78,-73,-79,-100,-67,-77,-53,-61,-63,-73,2
426,-77,-74,-80,-100,-67,-77,-54,-61,-64,-71,2
427,-75,-74,-81,-100,-66,-78,-53,-61,-63,-71,2
428,-76,-74,-81,-100,-66,-77,-53,-62,-63,-72,2
429,-77,-74,-82,-100,-66,-77,-53,-62,-63,-72,2
430,-76,-73,-82,-100,-67,-75,-54,-62,-63,-73,2
431,-77,-73,-81,-100,-66,-75,-52,-62,-63,-72,2
432,-76,-73,-82,-100,-67,-75,-53,-62,-63,-72,2
433,-76,-74,-81,-100,-67,-75,-54,-62,-63,-71,2
434,-76,-74,-82,-100,-67,-75,-53,-62,-63,-71,2
435,-100,-100,-100,-100,-100,-100,-54,-62,-63,-71,2
436,-100,-100,-100,-100,-67,-74,-53,-62,-63,-72,2
437,-77,-75,-81,-100,-66,-74,-53,-62,-63,-72,2
438,-76,-75,-81,-100,-66,-74,-53,-61,-63,-73,2
439,-76,-75,-82,-100,-66,-74,-54,-62,-63,-73,2
440,-76,-75,-82,-100,-66,-73,-54,-61,-63,-73,2
441,-76,-75,-81,-100,-66,-74,-53,-62,-64,-74,2
442,-76,-75,-82,-100,-66,-74,-53,-61,-64,-76,2
443,-76,-76,-82,-89,-66,-76,-54,-61,-64,-76,2
444,-77,-75,-82,-89,-66,-76,-100,-62,-64,-75,2
445,-76,-76,-80,-89,-66,-76,-54,-62,-64,-77,2
446,-78,-76,-81,-100,-67,-77,-54,-61,-63,-74,2
447,-81,-76,-80,-100,-67,-75,-56,-61,-63,-72,2
448,-86,-75,-79,-86,-64,-71,-55,-62,-62,-69,2
449,-79,-75,-80,-100,-63,-68,-53,-64,-62,-68,2
450,-74,-78,-78,-100,-64,-70,-54,-68,-62,-69,2
451,-75,-80,-77,-85,-64,-78,-55,-73,-64,-74,2
452,-77,-83,-82,-83,-62,-75,-57,-72,-66,-76,2
453,-72,-78,-100,-100,-72,-88,-57,-65,-63,-79,2
454,-74,-81,-88,-100,-64,-71,-57,-66,-65,-70,2
455,-75,-100,-100,-100,-64,-69,-58,-71,-71,-80,2
456,-76,-72,-84,-83,-68,-66,-56,-69,-64,-79,2
457,-77,-69,-81,-84,-66,-67,-54,-65,-64,-70,2
458,-79,-73,-100,-84,-66,-76,-52,-70,-69,-100,2
459,-100,-76,-88,-86,-64,-100,-51,-65,-67,-77,2
460,-77,-77,-80,-85,-69,-75,-52,-72,-67,-75,2
461,-75,-74,-80,-85,-75,-78,-52,-68,-67,-100,2
462,-78,-71,-81,-77,-74,-71,-53,-76,-67,-69,1
463,-76,-75,-82,-79,-72,-67,-53,-100,-63,-69,1
464,-100,-77,-85,-81,-73,-65,-56,-100,-67,-78,1
465,-79,-72,-100,-76,-69,-74,-55,-100,-64,-73,1
466,-100,-74,-79,-77,-72,-66,-57,-100,-67,-69,1
467,-77,-77,-83,-84,-71,-67,-58,-74,-69,-74,1
468,-80,-68,-75,-78,-70,-65,-55,-76,-68,-78,1
469,-81,-73,-76,-76,-65,-100,-56,-63,-69,-72,1
470,-100,-74,-76,-83,-72,-76,-59,-64,-67,-66,1
471,-80,-69,-79,-100,-65,-78,-58,-70,-73,-71,1
472,-76,-78,-86,-83,-70,-76,-55,-69,-67,-76,1
473,-80,-74,-81,-80,-100,-75,-56,-100,-62,-73,1
474,-78,-75,-100,-79,-66,-81,-57,-66,-73,-71,1
475,-77,-70,-84,-83,-82,-75,-63,-73,-77,-100,1
476,-83,-79,-81,-80,-77,-76,-68,-78,-70,-73,1
477,-100,-84,-81,-84,-80,-72,-65,-69,-65,-66,1
478,-83,-85,-100,-77,-74,-71,-63,-64,-69,-73,1
479,-80,-71,-85,-78,-67,-75,-68,-65,-66,-73,1
480,-74,-75,-100,-100,-67,-73,-66,-62,-75,-72,1
481,-82,-71,-87,-83,-70,-76,-60,-58,-70,-77,1
482,-78,-85,-75,-100,-67,-71,-58,-61,-64,-87,1
483,-77,-73,-75,-79,-74,-80,-61,-75,-64,-77,1
484,-78,-77,-100,-82,-67,-70,-64,-65,-67,-70,1
485,-79,-100,-76,-80,-74,-70,-57,-62,-64,-75,1
486,-100,-75,-78,-78,-68,-67,-58,-62,-68,-69,1
487,-78,-71,-74,-87,-68,-83,-56,-60,-71,-75,1
488,-81,-76,-78,-81,-75,-78,-59,-67,-69,-69,1
489,-81,-70,-100,-80,-70,-73,-57,-85,-67,-85,1
490,-84,-69,-100,-84,-67,-73,-59,-69,-67,-83,1
491,-100,-72,-100,-78,-66,-74,-55,-75,-61,-64,1
492,-78,-68,-77,-84,-77,-79,-60,-62,-65,-64,1
493,-80,-72,-77,-79,-64,-77,-61,-65,-69,-73,1
494,-77,-78,-100,-77,-71,-69,-57,-70,-67,-78,1
495,-83,-73,-100,-78,-65,-83,-58,-68,-66,-69,1
496,-79,-83,-78,-78,-70,-71,-55,-76,-65,-70,1
497,-81,-77,-75,-76,-66,-65,-55,-71,-62,-72,1
498,-75,-77,-82,-75,-66,-65,-57,-73,-68,-80,1
499,-77,-79,-81,-79,-73,-77,-54,-69,-62,-72,1
500,-75,-80,-81,-82,-63,-77,-53,-74,-60,-73,1
501,-75,-72,-74,-100,-67,-85,-60,-66,-62,-75,1
502,-76,-72,-81,-85,-100,-73,-55,-62,-73,-81,1
503,-79,-100,-83,-83,-68,-69,-54,-62,-71,-70,1
504,-84,-100,-84,-85,-75,-75,-59,-61,-62,-66,1
505,-73,-79,-84,-82,-72,-80,-58,-64,-60,-70,1
506,-80,-79,-84,-100,-70,-83,-56,-76,-63,-70,1
507,-82,-77,-79,-78,-78,-80,-58,-65,-66,-70,1
508,-83,-79,-81,-82,-69,-78,-60,-71,-62,-76,1
509,-81,-85,-82,-86,-69,-70,-58,-62,-61,-62,1
510,-76,-78,-81,-80,-72,-68,-57,-62,-69,-67,1
511,-100,-77,-87,-79,-72,-68,-54,-62,-68,-68,1
512,-81,-76,-82,-84,-68,-72,-57,-59,-61,-72,1
513,-79,-100,-80,-86,-62,-74,-64,-60,-58,-70,1
514,-80,-79,-75,-87,-63,-71,-57,-61,-63,-84,1
515,-79,-100,-77,-83,-70,-75,-55,-60,-64,-65,1
516,-87,-77,-100,-100,-75,-70,-59,-64,-64,-72,1
517,-77,-84,-86,-80,-72,-66,-67,-59,-64,-67,1
518,-70,-77,-100,-88,-69,-65,-58,-67,-67,-74,1
519,-100,-100,-77,-100,-79,-68,-58,-81,-67,-73,1
520,-73,-75,-80,-100,-61,-66,-60,-68,-65,-75,1
521,-73,-73,-79,-100,-62,-75,-57,-63,-62,-70,1
522,-83,-88,-77,-100,-68,-75,-64,-59,-60,-100,1
523,-76,-71,-76,-79,-82,-69,-73,-62,-61,-86,1
524,-69,-100,-77,-76,-69,-71,-62,-64,-61,-69,1
525,-78,-85,-77,-84,-62,-69,-56,-58,-78,-73,1
526,-72,-74,-80,-84,-64,-67,-56,-64,-64,-68,1
527,-73,-75,-89,-74,-62,-66,-72,-71,-62,-66,1
528,-90,-75,-83,-76,-62,-73,-66,-65,-76,-70,1
529,-74,-71,-77,-82,-63,-76,-62,-66,-70,-74,1
530,-100,-74,-81,-83,-61,-70,-63,-60,-64,-78,0
531,-77,-73,-87,-76,-58,-76,-64,-61,-67,-71,0
532,-73,-85,-83,-75,-62,-83,-59,-62,-57,-69,0
533,-77,-80,-81,-83,-63,-71,-62,-61,-100,-67,0
534,-78,-75,-82,-77,-68,-80,-58,-58,-75,-66,0
535,-80,-83,-82,-77,-63,-72,-64,-62,-60,-71,0
536,-77,-69,-79,-76,-67,-72,-64,-64,-57,-65,0
537,-80,-68,-86,-84,-65,-70,-72,-58,-60,-64,0
538,-79,-81,-82,-87,-81,-77,-66,-61,-64,-64,0
539,-75,-77,-80,-83,-67,-67,-69,-65,-62,-70,0
540,-76,-80,-100,-80,-65,-70,-60,-69,-61,-63,0
541,-68,-79,-89,-80,-69,-73,-58,-71,-61,-65,0
542,-71,-72,-85,-83,-64,-73,-56,-64,-62,-70,0
543,-78,-86,-80,-86,-72,-66,-58,-64,-60,-67,0
544,-76,-71,-100,-79,-81,-73,-56,-64,-67,-64,0
545,-76,-71,-100,-78,-65,-67,-57,-67,-62,-68,0
546,-79,-69,-80,-74,-57,-64,-59,-64,-57,-71,0
547,-76,-70,-81,-77,-64,-81,-62,-67,-61,-73,0
548,-77,-68,-100,-77,-71,-68,-67,-66,-58,-71,0
549,-75,-71,-83,-75,-71,-66,-65,-68,-58,-62,0
550,-69,-72,-81,-78,-70,-62,-67,-66,-56,-64,0
551,-69,-71,-82,-84,-59,-62,-59,-62,-60,-68,0
552,-69,-68,-79,-82,-61,-79,-58,-66,-64,-66,0
553,-70,-68,-79,-80,-61,-71,-61,-67,-68,-71,0
554,-73,-70,-82,-81,-61,-75,-63,-67,-62,-65,0
555,-83,-65,-87,-100,-63,-64,-65,-64,-61,-72,0
556,-68,-71,-100,-76,-56,-62,-60,-60,-60,-72,0
557,-76,-68,-80,-81,-56,-62,-61,-66,-60,-78,0
558,-75,-73,-83,-77,-62,-62,-62,-65,-64,-62,0
559,-74,-100,-81,-100,-65,-64,-64,-67,-60,-64,0
560,-68,-70,-78,-80,-65,-71,-60,-64,-58,-66,0
561,-72,-66,-80,-80,-63,-68,-59,-66,-62,-62,0
562,-77,-67,-83,-86,-60,-62,-63,-65,-60,-64,0
563,-74,-77,-76,-83,-56,-54,-57,-69,-71,-66,0
564,-77,-75,-77,-79,-58,-64,-62,-64,-72,-62,0
565,-67,-70,-83,-81,-62,-62,-63,-67,-66,-71,0
566,-100,-100,-100,-100,-61,-56,-63,-100,-61,-63,0
567,-66,-64,-78,-100,-58,-59,-61,-66,-58,-68,0
568,-72,-65,-79,-100,-62,-62,-100,-63,-58,-71,0
569,-66,-77,-85,-100,-62,-62,-60,-64,-62,-79,0
570,-70,-66,-78,-78,-65,-56,-57,-62,-65,-80,0
571,-67,-64,-78,-82,-63,-62,-62,-62,-63,-64,0
572,-67,-62,-72,-75,-57,-66,-61,-64,-64,-69,0
573,-67,-62,-70,-71,-57,-60,-61,-66,-65,-61,0
574,-68,-100,-78,-78,-57,-61,-69,-69,-62,-100,0
575,-77,-71,-79,-75,-52,-57,-67,-73,-63,-68,0
576,-70,-64,-75,-78,-54,-57,-58,-66,-62,-62,0
577,-64,-79,-75,-76,-55,-55,-64,-61,-71,-64,0
578,-64,-62,-83,-75,-55,-63,-65,-67,-69,-64,0
579,-69,-64,-81,-78,-59,-58,-64,-88,-70,-64,0
580,-100,-100,-100,-100,-56,-56,-100,-100,-100,-100,0
581,-75,-74,-82,-73,-73,-52,-66,-65,-68,-70,0
582,-65,-59,-100,-76,-60,-55,-65,-65,-70,-62,0
583,-66,-61,-77,-76,-54,-60,-62,-64,-64,-63,0
584,-64,-68,-80,-100,-52,-58,-62,-64,-58,-69,0
585,-69,-66,-78,-81,-54,-56,-63,-62,-59,-63,0
586,-67,-84,-71,-83,-62,-57,-66,-62,-59,-61,0
587,-67,-78,-71,-85,-58,-59,-67,-59,-62,-70,0
588,-72,-67,-100,-75,-55,-57,-66,-60,-69,-69,0
589,-71,-69,-73,-74,-74,-64,-70,-62,-57,-63,0
590,-71,-63,-76,-73,-64,-61,-87,-62,-61,-60,0
591,-66,-100,-100,-100,-62,-60,-73,-100,-64,-60,0
592,-70,-61,-74,-79,-55,-60,-70,-81,-61,-60,0
593,-72,-57,-78,-72,-54,-63,-66,-70,-62,-69,0
594,-70,-71,-77,-84,-57,-55,-83,-67,-65,-73,0
595,-64,-62,-73,-71,-64,-58,-72,-64,-60,-66,0
596,-66,-69,-100,-77,-61,-64,-72,-66,-64,-71,0
597,-67,-70,-77,-81,-60,-60,-60,-69,-60,-68,0
598,-69,-61,-75,-75,-56,-64,-60,-75,-63,-63,0
599,-67,-64,-74,-81,-57,-69,-59,-67,-61,-71,0
600,-64,-68,-100,-83,-59,-74,-62,-67,-68,-62,0
601,-64,-60,-84,-75,-58,-74,-66,-69,-70,-58,0
602,-62,-60,-80,-100,-55,-71,-61,-66,-67,-58,0
603,-63,-58,-76,-100,-55,-73,-60,-65,-70,-61,0
604,-56,-59,-73,-77,-53,-67,-61,-67,-67,-61,0
605,-58,-57,-78,-77,-53,-60,-70,-70,-62,-62,0
606,-60,-54,-84,-76,-54,-57,-70,-76,-66,-64,0
607,-68,-55,-78,-81,-56,-59,-75,-72,-69,-65,0
608,-61,-57,-77,-74,-58,-62,-64,-66,-72,-66,0
609,-68,-100,-100,-100,-65,-62,-100,-64,-65,-69,0
610,-65,-56,-72,-76,-69,-63,-61,-63,-64,-68,0
611,-63,-57,-83,-71,-60,-60,-65,-63,-63,-69,0
612,-62,-62,-77,-73,-57,-59,-66,-66,-61,-75,0
613,-57,-61,-82,-77,-57,-60,-62,-71,-61,-72,0
614,-70,-59,-75,-81,-58,-68,-61,-69,-64,-71,0
615,-62,-58,-79,-79,-61,-73,-61,-67,-69,-66,0
616,-57,-61,-81,-77,-65,-70,-62,-69,-60,-62,0
617,-57,-60,-71,-73,-58,-64,-67,-72,-57,-62,0
618,-64,-62,-87,-79,-55,-64,-71,-70,-57,-67,0
619,-64,-61,-81,-75,-55,-63,-66,-75,-61,-71,0
620,-57,-56,-70,-72,-60,-62,-79,-72,-66,-74,0
621,-65,-59,-100,-73,-69,-70,-66,-77,-62,-72,0
622,-56,-69,-78,-78,-62,-66,-62,-77,-67,-72,0
623,-55,-57,-78,-75,-62,-62,-64,-72,-63,-75,0
624,-63,-64,-74,-75,-61,-65,-68,-66,-65,-77,0
625,-60,-62,-74,-77,-65,-67,-67,-63,-82,-73,0
626,-56,-58,-79,-76,-67,-73,-64,-62,-72,-85,0
627,-55,-59,-74,-79,-57,-71,-62,-64,-62,-69,0
628,-63,-53,-74,-72,-57,-64,-71,-67,-65,-70,0
629,-69,-51,-78,-71,-60,-62,-70,-68,-62,-73,0
630,-63,-54,-74,-69,-69,-62,-62,-71,-66,-77,0
631,-58,-52,-74,-69,-60,-67,-65,-72,-68,-72,0
632,-60,-54,-79,-74,-57,-69,-66,-73,-67,-68,0
633,-64,-53,-75,-76,-60,-66,-71,-69,-70,-69,0
634,-64,-49,-70,-75,-62,-66,-65,-66,-63,-70,0
635,-63,-49,-77,-79,-63,-66,-61,-66,-61,-68,0
636,-62,-49,-74,-84,-62,-64,-59,-65,-61,-71,0
637,-61,-51,-100,-72,-66,-61,-58,-73,-62,-74,0
638,-100,-100,-100,-100,-100,-60,-58,-100,-100,-100,0
639,-67,-52,-67,-71,-61,-60,-59,-65,-64,-77,0
640,-75,-52,-72,-69,-63,-62,-61,-65,-68,-72,0
641,-100,-100,-100,-100,-100,-62,-100,-63,-100,-66,0
642,-100,-100,-100,-100,-100,-66,-100,-100,-100,-64,0
643,-66,-50,-75,-78,-64,-76,-68,-65,-68,-64,0
644,-64,-51,-74,-100,-67,-76,-74,-66,-68,-63,0
645,-64,-52,-74,-76,-70,-68,-100,-66,-72,-64,0
646,-63,-52,-80,-69,-69,-64,-77,-69,-65,-67,0
647,-62,-54,-78,-68,-69,-70,-71,-70,-70,-69,0
648,-62,-100,-100,-100,-100,-100,-100,-100,-100,-66,0
649,-62,-50,-76,-77,-73,-70,-72,-65,-66,-67,0
650,-62,-51,-74,-86,-67,-67,-68,-66,-79,-72,0
651,-69,-51,-75,-70,-65,-62,-100,-70,-67,-80,0
652,-62,-53,-73,-75,-64,-60,-60,-64,-66,-66,0
653,-58,-52,-72,-75,-64,-61,-63,-72,-65,-64,0
654,-58,-53,-79,-72,-66,-63,-60,-83,-67,-68,0
655,-66,-51,-74,-83,-70,-63,-62,-67,-62,-70,0
656,-64,-51,-73,-70,-68,-69,-60,-64,-65,-74,0
657,-68,-63,-70,-65,-72,-65,-61,-63,-64,-68,0
658,-68,-67,-75,-65,-66,-73,-61,-64,-64,-86,0
659,-61,-59,-72,-69,-65,-74,-72,-62,-62,-69,0
660,-62,-54,-72,-74,-80,-75,-58,-62,-61,-65,0
661,-57,-52,-68,-69,-64,-72,-74,-62,-62,-69,0
662,-57,-54,-70,-78,-67,-67,-62,-63,-60,-77,0
663,-64,-54,-68,-74,-81,-66,-100,-59,-59,-74,0
664,-62,-54,-74,-70,-73,-70,-62,-65,-63,-72,0
665,-58,-57,-72,-76,-68,-73,-62,-61,-61,-72,0
666,-60,-57,-74,-80,-68,-71,-100,-62,-65,-69,0
667,-61,-100,-100,-100,-100,-100,-65,-100,-60,-68,0
668,-58,-52,-70,-70,-69,-71,-62,-63,-62,-68,0
669,-57,-52,-68,-71,-77,-65,-63,-68,-64,-72,0
670,-59,-54,-70,-67,-70,-63,-68,-66,-63,-69,0
671,-58,-52,-77,-73,-69,-63,-65,-68,-73,-67,0
672,-59,-51,-76,-65,-74,-65,-65,-80,-64,-69,0
673,-60,-50,-69,-66,-74,-70,-67,-66,-62,-71,0
674,-64,-52,-72,-61,-74,-74,-61,-66,-62,-77,0
675,-68,-53,-69,-69,-67,-76,-60,-67,-62,-76,0
676,-61,-53,-70,-100,-71,-75,-66,-70,-64,-73,0
677,-59,-52,-69,-72,-75,-70,-65,-81,-62,-69,0
678,-58,-52,-64,-66,-84,-67,-65,-75,-60,-68,0
679,-60,-52,-70,-76,-68,-68,-62,-74,-60,-68,0
680,-59,-55,-61,-66,-67,-80,-64,-73,-61,-71,0
681,-58,-55,-62,-67,-67,-70,-62,-69,-60,-69,0
682,-57,-56,-63,-78,-66,-64,-65,-70,-60,-68,0
683,-57,-60,-65,-60,-66,-63,-65,-69,-59,-71,0
684,-57,-65,-66,-70,-72,-65,-70,-70,-61,-73,0
685,-56,-75,-61,-62,-79,-67,-67,-77,-63,-80,0
686,-57,-69,-64,-65,-80,-68,-64,-69,-65,-80,0
687,-60,-66,-62,-59,-68,-70,-65,-73,-64,-77,0
688,-61,-60,-66,-63,-71,-66,-64,-76,-65,-75,0
689,-58,-59,-64,-62,-80,-65,-60,-77,-74,-100,0
690,-58,-57,-70,-70,-82,-65,-61,-70,-71,-80,0
691,-58,-60,-65,-66,-73,-71,-65,-78,-63,-75,0
692,-62,-60,-67,-74,-72,-68,-64,-77,-66,-76,0
693,-62,-61,-63,-62,-100,-67,-64,-74,-66,-82,0
694,-65,-59,-68,-65,-73,-67,-63,-80,-65,-77,0
695,-66,-58,-69,-66,-77,-66,-65,-71,-62,-70,0
696,-100,-100,-100,-100,-100,-65,-70,-100,-64,-72,0
697,-66,-65,-59,-56,-76,-65,-69,-68,-65,-75,0
698,-64,-63,-67,-62,-71,-66,-67,-68,-68,-73,0
699,-71,-57,-62,-62,-73,-67,-71,-69,-64,-78,0
700,-77,-61,-62,-54,-68,-65,-100,-75,-64,-77,0
701,-73,-62,-77,-57,-75,-63,-81,-68,-66,-77,0
702,-65,-62,-68,-60,-70,-63,-85,-65,-63,-77,0
703,-65,-64,-63,-54,-69,-65,-75,-69,-67,-77,0
704,-64,-64,-66,-53,-76,-66,-100,-65,-66,-78,0
705,-64,-59,-62,-60,-74,-70,-74,-68,-67,-85,0
706,-63,-58,-60,-53,-71,-67,-86,-70,-69,-89,0
707,-66,-60,-61,-52,-69,-69,-73,-66,-71,-100,0
708,-67,-57,-63,-70,-71,-67,-77,-65,-68,-88,0
709,-65,-61,-64,-56,-73,-69,-69,-64,-77,-86,0
710,-77,-60,-65,-57,-70,-70,-67,-65,-73,-76,0
711,-74,-61,-58,-64,-70,-72,-69,-67,-74,-83,0
712,-73,-61,-64,-57,-70,-71,-65,-64,-71,-79,0
713,-68,-62,-61,-62,-69,-72,-67,-67,-79,-79,0
714,-100,-100,-100,-100,-100,-100,-100,-65,-100,-76,0
715,-64,-65,-58,-62,-68,-70,-65,-65,-76,-84,0
716,-62,-63,-70,-55,-67,-74,-69,-66,-81,-100,0
717,-63,-70,-62,-55,-68,-69,-74,-65,-81,-83,0
718,-62,-66,-64,-57,-66,-68,-67,-65,-81,-84,0
719,-64,-61,-62,-55,-72,-66,-77,-64,-81,-79,0
720,-65,-60,-64,-51,-68,-68,-79,-63,-76,-80,0
721,-64,-63,-60,-54,-100,-68,-74,-65,-68,-78,0
722,-64,-62,-65,-56,-72,-70,-72,-65,-70,-75,0
723,-65,-60,-62,-57,-74,-75,-100,-64,-66,-78,0
724,-67,-61,-73,-55,-70,-71,-77,-65,-68,-77,0
725,-72,-62,-62,-56,-68,-72,-76,-68,-64,-82,0
726,-72,-61,-57,-53,-71,-74,-80,-67,-63,-85,0
727,-72,-61,-62,-54,-67,-72,-77,-67,-66,-78,0
728,-72,-61,-66,-53,-68,-72,-76,-69,-64,-78,0
729,-76,-62,-61,-55,-71,-73,-77,-68,-64,-79,0
730,-77,-68,-62,-55,-70,-74,-100,-68,-64,-76,0
731,-74,-76,-65,-53,-67,-72,-67,-67,-63,-76,0
732,-73,-70,-67,-51,-67,-72,-67,-67,-62,-78,0
733,-72,-67,-65,-50,-69,-71,-67,-68,-62,-84,0
734,-71,-65,-64,-50,-71,-71,-66,-67,-62,-86,0
735,-71,-64,-67,-51,-70,-72,-66,-67,-64,-85,0
736,-72,-63,-76,-52,-68,-73,-66,-67,-65,-82,0
737,-71,-62,-69,-53,-67,-72,-66,-66,-65,-82,0
738,-71,-61,-65,-54,-67,-72,-66,-66,-65,-84,0
739,-70,-62,-64,-54,-67,-73,-65,-66,-64,-82,0
740,-69,-62,-64,-54,-68,-74,-67,-65,-64,-82,0
741,-69,-62,-63,-54,-68,-74,-66,-65,-64,-86,0
742,-69,-62,-63,-54,-68,-74,-66,-65,-64,-86,0
743,-69,-62,-63,-54,-68,-74,-65,-65,-64,-86,0
744,-69,-62,-64,-54,-67,-73,-66,-65,-64,-83,0
745,-69,-62,-64,-54,-68,-73,-66,-65,-64,-83,0
746,-69,-62,-63,-54,-68,-74,-66,-65,-64,-84,0
747,-69,-62,-64,-54,-68,-74,-65,-65,-64,-84,0
748,-69,-62,-64,-54,-68,-74,-65,-65,-64,-84,0
749,-69,-62,-64,-54,-67,-74,-66,-65,-64,-82,0
750,-69,-62,-64,-54,-67,-73,-65,-65,-64,-82,0
751,-69,-62,-64,-54,-67,-73,-65,-65,-64,-81,0
752,-70,-62,-64,-54,-67,-73,-65,-65,-64,-82,0
753,-69,-62,-64,-54,-67,-73,-66,-65,-64,-83,0
754,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
755,-69,-62,-64,-54,-67,-74,-66,-65,-64,-83,0
756,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
757,-69,-62,-64,-54,-67,-74,-66,-65,-64,-84,0
758,-69,-62,-64,-54,-67,-74,-66,-65,-64,-83,0
759,-69,-62,-63,-54,-67,-74,-65,-65,-64,-83,0
760,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
761,-70,-62,-63,-54,-67,-74,-66,-65,-64,-84,0
762,-69,-62,-63,-54,-67,-74,-65,-65,-64,-84,0
763,-69,-62,-64,-54,-67,-74,-66,-65,-64,-84,0
764,-69,-62,-63,-54,-67,-74,-65,-65,-64,-84,0
765,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
766,-69,-62,-63,-54,-67,-74,-65,-65,-64,-85,0
767,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
768,-69,-62,-64,-54,-67,-74,-65,-65,-64,-84,0
769,-69,-62,-64,-54,-67,-74,-66,-65,-64,-82,0
770,-70,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
771,-69,-62,-64,-54,-67,-74,-65,-65,-64,-82,0
772,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
773,-69,-62,-64,-54,-68,-74,-65,-65,-64,-82,0
774,-69,-62,-64,-54,-67,-74,-65,-66,-64,-82,0
775,-69,-62,-64,-54,-68,-74,-65,-66,-64,-82,0
776,-69,-62,-64,-54,-68,-74,-65,-65,-64,-81,0
777,-69,-62,-64,-54,-67,-74,-65,-66,-64,-82,0
778,-69,-62,-64,-54,-68,-74,-66,-66,-65,-82,0
779,-69,-62,-64,-54,-67,-74,-65,-65,-64,-83,0
780,-69,-62,-64,-54,-68,-75,-65,-66,-64,-82,0
781,-69,-62,-64,-54,-68,-74,-64,-65,-64,-83,0
782,-69,-62,-64,-54,-68,-74,-65,-65,-64,-83,0
783,-69,-62,-64,-54,-68,-74,-65,-65,-64,-83,0
784,-69,-62,-64,-54,-68,-74,-65,-65,-64,-83,0
785,-69,-62,-64,-54,-67,-74,-64,-65,-64,-83,0
786,-69,-62,-64,-54,-67,-73,-65,-65,-64,-82,0
787,-69,-62,-64,-54,-67,-73,-65,-65,-64,-82,0
788,-69,-62,-64,-54,-68,-74,-65,-65,-64,-82,0
789,-70,-62,-64,-54,-68,-74,-65,-65,-64,-83,0
790,-69,-62,-64,-54,-68,-74,-65,-65,-64,-82,0
791,-70,-62,-64,-54,-67,-75,-65,-65,-64,-82,0
792,-69,-62,-64,-54,-67,-75,-65,-65,-64,-81,0
793,-70,-62,-64,-54,-68,-75,-65,-65,-64,-83,0
794,-69,-62,-64,-54,-67,-74,-64,-65,-64,-82,0
795,-70,-61,-64,-54,-67,-74,-65,-65,-64,-81,0
796,-69,-62,-64,-54,-67,-74,-65,-65,-64,-80,0
797,-70,-62,-64,-54,-67,-75,-65,-65,-64,-81,0
798,-69,-62,-64,-54,-67,-74,-64,-65,-64,-81,0
799,-69,-62,-64,-54,-68,-74,-66,-65,-64,-81,0
800,-69,-62,-64,-54,-68,-73,-65,-65,-64,-82,0
801,-69,-62,-64,-54,-69,-73,-65,-66,-64,-83,0
802,-69,-62,-64,-54,-68,-73,-64,-66,-64,-82,0
803,-70,-61,-64,-54,-68,-73,-65,-66,-64,-82,0
804,-69,-62,-65,-54,-67,-73,-65,-66,-64,-83,0
805,-70,-61,-61,-54,-68,-74,-64,-66,-64,-81,0
806,-68,-62,-64,-54,-68,-74,-64,-65,-64,-83,0
807,-70,-63,-100,-54,-67,-74,-66,-66,-64,-82,0
808,-70,-62,-64,-54,-67,-73,-64,-65,-64,-80,0
809,-70,-61,-65,-53,-66,-72,-65,-66,-65,-81,0
810,-71,-62,-67,-53,-67,-72,-66,-66,-65,-81,0
811,-70,-62,-73,-53,-67,-72,-65,-66,-65,-81,0
812,-70,-63,-75,-52,-69,-73,-66,-67,-64,-82,0
813,-70,-64,-64,-50,-70,-73,-66,-68,-63,-82,0
