superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
93,-77,-80,-78,-100,-66,-74,-53,-62,-64,-69,2
94,-78,-79,-81,-83,-66,-74,-54,-63,-63,-71,2
95,-77,-78,-78,-88,-66,-74,-53,-62,-64,-71,2
96,-77,-79,-79,-100,-67,-74,-54,-63,-65,-72,2
97,-78,-79,-78,-100,-66,-73,-53,-62,-64,-71,2
98,-100,-100,-100,-100,-65,-100,-53,-62,-64,-71,2
99,-77,-79,-80,-89,-66,-75,-53,-62,-64,-73,2
100,-77,-81,-77,-100,-66,-73,-54,-100,-63,-71,2
101,-78,-80,-79,-100,-67,-72,-53,-62,-63,-71,2
102,-78,-81,-79,-100,-66,-72,-53,-62,-63,-71,2
103,-78,-78,-81,-100,-67,-72,-52,-62,-63,-71,2
104,-78,-80,-79,-100,-67,-73,-54,-62,-63,-70,2
105,-77,-80,-79,-100,-65,-73,-53,-62,-64,-70,2
106,-77,-79,-79,-100,-66,-74,-53,-62,-64,-71,2
107,-77,-78,-78,-88,-66,-75,-53,-63,-64,-70,2
108,-77,-78,-79,-100,-66,-76,-54,-62,-64,-71,2
109,-100,-100,-100,-100,-100,-100,-52,-62,-63,-71,2
110,-78,-79,-79,-100,-66,-76,-54,-63,-64,-71,2
111,-78,-80,-79,-85,-66,-74,-54,-63,-63,-71,2
112,-78,-81,-79,-85,-66,-74,-53,-62,-64,-73,2
113,-77,-81,-79,-85,-66,-74,-54,-63,-64,-71,2
114,-78,-81,-79,-100,-66,-73,-53,-62,-63,-71,2
115,-79,-82,-79,-85,-66,-75,-53,-64,-63,-71,2
116,-79,-79,-80,-85,-66,-74,-53,-62,-65,-72,2
117,-78,-77,-79,-84,-66,-76,-54,-62,-64,-71,2
118,-78,-78,-80,-100,-65,-74,-53,-62,-64,-71,2
119,-78,-79,-79,-100,-64,-75,-53,-62,-65,-71,2
120,-78,-78,-80,-88,-65,-75,-53,-62,-64,-71,2
121,-77,-77,-80,-100,-65,-74,-54,-63,-65,-70,2
122,-78,-78,-79,-100,-64,-75,-53,-62,-65,-70,2
123,-78,-78,-80,-100,-64,-76,-53,-62,-64,-72,2
124,-79,-76,-81,-100,-66,-76,-53,-63,-64,-71,2
125,-79,-76,-81,-87,-66,-76,-54,-62,-64,-71,2
126,-78,-76,-80,-88,-66,-75,-53,-63,-64,-72,2
127,-100,-100,-100,-100,-100,-100,-54,-100,-100,-72,2
128,-78,-77,-81,-100,-66,-73,-54,-63,-65,-73,2
129,-79,-78,-81,-100,-65,-73,-54,-63,-65,-73,2
130,-78,-77,-81,-100,-65,-74,-53,-63,-66,-73,2
131,-78,-76,-81,-100,-66,-74,-52,-62,-66,-72,2
132,-78,-76,-81,-100,-65,-75,-53,-63,-65,-72,2
133,-78,-76,-84,-88,-66,-74,-53,-62,-64,-73,2
134,-79,-77,-82,-86,-67,-75,-54,-63,-65,-72,2
135,-80,-78,-100,-86,-66,-73,-52,-62,-64,-73,2
136,-79,-78,-82,-100,-65,-74,-53,-62,-64,-75,2
137,-79,-78,-78,-100,-65,-74,-53,-62,-64,-75,2
138,-79,-79,-80,-100,-65,-77,-53,-62,-64,-71,2
139,-79,-76,-81,-86,-67,-74,-52,-62,-64,-74,2
140,-78,-76,-78,-100,-66,-75,-53,-61,-64,-73,2
141,-79,-75,-80,-100,-67,-76,-53,-62,-64,-71,2
142,-81,-75,-81,-100,-67,-75,-54,-61,-64,-73,2
143,-81,-76,-83,-100,-66,-74,-52,-62,-64,-71,2
144,-78,-74,-80,-100,-66,-74,-53,-61,-64,-71,2
145,-78,-72,-84,-100,-67,-74,-54,-62,-64,-71,2
146,-81,-73,-84,-87,-68,-78,-54,-62,-64,-72,2
147,-79,-73,-80,-85,-67,-79,-53,-62,-64,-73,2
148,-77,-73,-83,-100,-67,-74,-53,-61,-64,-73,2
149,-79,-76,-84,-88,-67,-74,-53,-62,-64,-73,2
150,-78,-76,-84,-100,-67,-75,-54,-62,-64,-76,2
151,-79,-75,-83,-100,-67,-74,-54,-62,-63,-73,2
152,-78,-74,-84,-100,-66,-72,-53,-62,-64,-72,2
153,-77,-75,-79,-100,-66,-73,-53,-62,-64,-73,2
154,-78,-74,-81,-100,-67,-74,-53,-62,-64,-73,2
155,-77,-75,-82,-100,-67,-75,-54,-62,-64,-71,2
156,-100,-100,-100,-100,-100,-100,-53,-62,-64,-100,2
157,-78,-75,-81,-100,-67,-75,-54,-62,-64,-73,2
158,-79,-75,-81,-100,-67,-74,-53,-63,-64,-73,2
159,-78,-75,-83,-100,-66,-76,-54,-62,-64,-71,2
160,-79,-74,-83,-100,-66,-74,-53,-62,-64,-72,2
161,-77,-74,-83,-100,-66,-76,-53,-62,-64,-73,2
162,-77,-74,-85,-100,-66,-76,-54,-62,-64,-73,2
163,-77,-74,-83,-100,-66,-74,-54,-62,-64,-75,2
164,-100,-100,-100,-100,-66,-100,-52,-62,-65,-73,2
165,-78,-75,-83,-100,-67,-74,-53,-62,-64,-72,2
166,-78,-74,-83,-100,-67,-74,-54,-62,-64,-73,2
167,-79,-75,-82,-100,-67,-74,-53,-62,-64,-74,2
168,-77,-75,-83,-100,-66,-77,-54,-62,-65,-75,2
169,-79,-76,-83,-100,-67,-75,-53,-62,-64,-72,2
170,-77,-74,-82,-100,-67,-75,-53,-62,-65,-72,2
171,-77,-75,-82,-89,-67,-74,-53,-62,-64,-74,2
172,-77,-75,-82,-100,-67,-75,-54,-62,-65,-72,2
173,-77,-75,-82,-100,-67,-76,-53,-61,-64,-73,2
174,-100,-100,-100,-100,-67,-76,-53,-62,-64,-73,2
175,-78,-100,-81,-100,-67,-76,-53,-62,-64,-73,2
176,-78,-75,-81,-100,-67,-76,-54,-62,-64,-72,2
177,-78,-75,-82,-100,-67,-75,-53,-62,-64,-73,2
