superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
77,-68,-68,-86,-77,-68,-77,-62,-57,-57,-69,1,0
78,-67,-69,-100,-76,-69,-76,-63,-57,-57,-69,1,0
79,-67,-69,-85,-76,-69,-76,-63,-57,-57,-69,1,0
80,-67,-69,-85,-76,-69,-75,-63,-56,-57,-68,1,0
81,-67,-69,-84,-76,-68,-76,-63,-56,-57,-69,1,0
82,-67,-69,-84,-76,-68,-75,-64,-56,-57,-69,1,0
83,-67,-69,-83,-75,-67,-75,-64,-56,-57,-69,1,0
84,-67,-69,-84,-76,-67,-76,-64,-56,-57,-68,1,0
85,-67,-69,-84,-75,-67,-76,-64,-56,-57,-68,1,0
86,-67,-69,-84,-76,-68,-76,-63,-56,-57,-68,1,0
87,-67,-69,-85,-76,-68,-76,-64,-56,-57,-68,1,0
88,-68,-68,-86,-76,-67,-76,-63,-56,-57,-68,1,0
89,-68,-69,-86,-76,-68,-76,-63,-56,-57,-67,1,0
90,-68,-69,-86,-76,-68,-76,-64,-56,-57,-67,1,0
91,-68,-69,-86,-76,-68,-76,-63,-56,-57,-67,1,0
92,-68,-69,-86,-76,-68,-76,-63,-57,-57,-67,1,0
93,-67,-69,-86,-76,-68,-76,-63,-57,-57,-67,1,0
94,-68,-69,-100,-77,-68,-75,-63,-57,-58,-68,1,0
95,-69,-69,-86,-75,-66,-80,-63,-57,-59,-70,1,0
96,-66,-77,-84,-74,-67,-76,-64,-58,-58,-69,1,0
97,-69,-68,-83,-76,-65,-71,-71,-57,-63,-71,1,0
98,-74,-72,-83,-77,-73,-71,-72,-58,-71,-71,1,0
99,-76,-69,-79,-79,-76,-71,-71,-60,-63,-73,1,0
100,-76,-70,-79,-79,-73,-73,-69,-63,-58,-72,1,0
101,-71,-68,-81,-84,-74,-75,-66,-73,-60,-64,1,0
102,-68,-65,-79,-78,-67,-72,-66,-72,-70,-61,1,0
103,-67,-66,-79,-80,-65,-74,-66,-69,-69,-64,1,0
104,-65,-66,-80,-76,-67,-100,-70,-62,-69,-69,1,0
105,-71,-72,-100,-85,-67,-76,-65,-61,-67,-59,1,0
106,-64,-62,-77,-83,-62,-66,-72,-60,-71,-64,1,0
107,-62,-62,-74,-76,-60,-66,-66,-64,-62,-69,1,0
108,-66,-69,-80,-73,-63,-72,-63,-79,-73,-61,1,0
109,-63,-71,-100,-71,-65,-76,-66,-67,-62,-61,1,0
110,-68,-63,-78,-68,-77,-76,-61,-74,-59,-64,1,0
111,-66,-63,-74,-79,-66,-72,-65,-62,-60,-68,1,0
112,-64,-64,-79,-78,-66,-69,-56,-55,-61,-63,1,0
113,-76,-69,-78,-74,-65,-65,-52,-58,-61,-69,1,0
114,-66,-68,-72,-75,-55,-65,-53,-60,-76,-63,1,0
115,-86,-83,-78,-75,-65,-70,-54,-56,-58,-62,1,0
116,-72,-76,-72,-74,-62,-69,-50,-55,-66,-70,1,0
117,-76,-68,-73,-74,-61,-64,-49,-61,-56,-64,1,0
118,-78,-63,-80,-76,-62,-76,-53,-63,-60,-69,1,0
119,-67,-70,-100,-74,-63,-72,-53,-59,-58,-62,1,0
120,-80,-62,-77,-86,-64,-73,-54,-62,-61,-62,1,0
121,-73,-73,-72,-67,-60,-64,-54,-64,-58,-62,1,0
122,-74,-64,-81,-74,-62,-68,-57,-64,-68,-62,1,0
123,-69,-67,-80,-72,-59,-68,-57,-59,-64,-59,1,0
124,-72,-64,-79,-71,-61,-62,-58,-59,-66,-80,1,0
125,-63,-71,-66,-74,-64,-63,-58,-58,-57,-72,1,0
126,-63,-69,-74,-72,-62,-61,-65,-59,-56,-66,1,0
127,-78,-76,-63,-69,-62,-67,-57,-62,-60,-58,1,0
128,-70,-70,-63,-72,-59,-62,-58,-61,-62,-63,1,0
129,-87,-65,-71,-64,-58,-62,-57,-59,-71,-62,1,0
130,-70,-67,-64,-73,-61,-60,-64,-56,-77,-69,1,0
131,-82,-71,-72,-78,-64,-67,-62,-61,-70,-64,1,0
132,-76,-69,-68,-75,-62,-100,-66,-62,-66,-77,1,0
133,-72,-64,-69,-66,-58,-71,-68,-63,-72,-65,1,0
134,-65,-75,-65,-67,-57,-71,-100,-100,-65,-64,1,0
135,-66,-66,-72,-70,-60,-66,-64,-64,-63,-61,1,0
136,-78,-74,-69,-73,-57,-63,-68,-63,-72,-60,1,0
137,-69,-65,-62,-68,-57,-74,-69,-70,-74,-62,1,0
138,-75,-70,-63,-65,-62,-70,-69,-64,-70,-100,1,0
139,-68,-66,-78,-64,-58,-76,-62,-64,-63,-71,1,0
140,-65,-66,-70,-71,-65,-64,-64,-60,-68,-72,1,0
141,-67,-67,-72,-72,-71,-100,-72,-60,-70,-63,1,0
142,-77,-76,-73,-79,-64,-77,-72,-62,-75,-62,1,0
143,-68,-69,-75,-84,-65,-69,-63,-73,-66,-65,1,0
144,-72,-72,-64,-82,-60,-65,-67,-69,-64,-64,1,0
145,-70,-70,-73,-72,-60,-78,-68,-65,-63,-62,1,0
146,-76,-72,-74,-76,-62,-63,-62,-65,-63,-66,1,0
147,-68,-85,-85,-69,-60,-74,-66,-65,-64,-64,1,0
148,-83,-74,-73,-74,-60,-59,-67,-71,-68,-65,1,0
149,-75,-76,-75,-75,-57,-62,-61,-78,-57,-71,1,0
150,-78,-77,-75,-76,-61,-78,-64,-78,-59,-68,1,0
151,-84,-76,-82,-79,-68,-76,-67,-79,-59,-67,1,0
152,-73,-85,-70,-72,-64,-65,-64,-71,-62,-62,1,0
153,-71,-76,-69,-73,-67,-60,-65,-74,-60,-61,1,0
154,-70,-69,-72,-72,-64,-58,-65,-68,-59,-63,1,0
155,-72,-69,-70,-71,-61,-59,-71,-68,-63,-81,1,0
156,-80,-69,-69,-70,-63,-60,-68,-70,-62,-64,1,0
157,-75,-67,-69,-71,-67,-61,-65,-79,-61,-68,1,0
158,-72,-67,-69,-72,-68,-61,-65,-73,-65,-77,1,0
159,-71,-68,-70,-73,-65,-63,-63,-69,-67,-66,1,0
160,-72,-71,-70,-71,-63,-66,-62,-70,-65,-63,1,0
161,-73,-79,-70,-70,-62,-73,-62,-72,-63,-62,1,0
162,-75,-82,-69,-69,-61,-72,-63,-74,-63,-62,1,0
163,-75,-75,-70,-71,-61,-75,-63,-75,-64,-62,1,0
164,-80,-71,-72,-72,-60,-66,-63,-77,-64,-63,1,0
165,-83,-69,-72,-73,-61,-66,-63,-79,-64,-64,1,0
166,-79,-70,-70,-72,-62,-67,-63,-79,-64,-64,1,0
167,-73,-75,-70,-70,-62,-71,-62,-74,-66,-65,1,0
168,-69,-100,-70,-70,-63,-74,-64,-72,-71,-70,1,0
169,-68,-86,-69,-72,-66,-79,-68,-67,-66,-72,1,0
170,-67,-73,-71,-72,-67,-68,-79,-63,-62,-78,1,0
171,-69,-72,-72,-65,-61,-56,-71,-66,-70,-75,1,0
172,-64,-73,-75,-72,-60,-61,-64,-72,-64,-68,1,0
173,-73,-70,-67,-72,-58,-65,-76,-69,-74,-67,1,0
174,-66,-72,-77,-72,-62,-62,-66,-74,-82,-66,1,0
175,-67,-76,-69,-69,-74,-58,-68,-69,-72,-63,1,0
