superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
832,-65,-78,-84,-86,-65,-65,-61,-64,-57,-65,0,1,0
833,-66,-69,-73,-80,-63,-67,-62,-73,-60,-64,0,1,0
834,-69,-70,-79,-79,-60,-64,-63,-64,-59,-63,0,1,0
835,-70,-73,-80,-81,-60,-63,-56,-67,-56,-62,0,1,0
836,-66,-69,-74,-100,-57,-65,-56,-66,-58,-64,0,1,0
837,-78,-69,-78,-74,-66,-67,-57,-62,-55,-63,0,1,0
838,-67,-77,-84,-75,-57,-57,-57,-58,-71,-66,0,1,0
839,-64,-71,-76,-75,-68,-64,-60,-73,-65,-61,0,1,0
840,-66,-64,-100,-76,-66,-62,-55,-67,-63,-64,0,0,0
841,-100,-100,-100,-100,-64,-55,-60,-68,-61,-62,0,1,0
842,-71,-68,-86,-75,-72,-57,-58,-68,-54,-67,0,1,0
843,-67,-69,-80,-76,-58,-72,-53,-67,-62,-66,0,1,0
844,-74,-72,-72,-85,-62,-71,-58,-64,-60,-76,0,1,0
845,-75,-65,-74,-78,-65,-64,-55,-70,-60,-66,0,1,0
846,-70,-65,-75,-76,-68,-57,-59,-65,-65,-70,0,1,0
847,-86,-65,-76,-76,-70,-71,-59,-62,-65,-83,0,1,0
848,-66,-62,-71,-77,-59,-59,-58,-70,-61,-66,0,1,0
849,-64,-60,-75,-77,-60,-57,-58,-65,-58,-72,0,1,0
850,-60,-73,-74,-82,-60,-54,-57,-63,-67,-74,0,1,0
851,-60,-63,-71,-84,-70,-60,-59,-62,-70,-76,0,1,0
852,-78,-100,-100,-100,-59,-61,-63,-72,-65,-77,0,1,0
853,-66,-60,-75,-75,-64,-55,-60,-64,-69,-69,0,1,0
854,-65,-65,-71,-76,-63,-55,-64,-62,-65,-65,0,1,0
855,-67,-63,-73,-77,-64,-56,-61,-62,-62,-62,0,1,0
856,-70,-65,-100,-75,-60,-53,-58,-59,-65,-64,0,1,0
857,-76,-74,-79,-71,-55,-55,-62,-60,-62,-64,0,1,0
858,-77,-67,-71,-73,-80,-65,-59,-65,-62,-64,0,1,0
859,-68,-62,-75,-100,-61,-56,-58,-61,-75,-69,0,1,0
860,-62,-57,-74,-78,-100,-55,-58,-71,-60,-100,0,0,0
861,-63,-69,-86,-76,-59,-62,-68,-69,-58,-62,0,0,0
862,-60,-64,-73,-69,-60,-53,-59,-66,-64,-61,0,0,0
863,-65,-64,-79,-73,-62,-58,-59,-76,-57,-64,0,0,0
864,-66,-62,-70,-83,-67,-64,-59,-65,-61,-64,0,0,0
865,-61,-64,-82,-100,-59,-56,-63,-62,-59,-62,0,0,0
866,-60,-60,-75,-81,-54,-64,-62,-67,-59,-62,0,0,0
867,-73,-57,-79,-73,-62,-60,-61,-65,-66,-53,0,0,0
868,-76,-61,-80,-72,-51,-69,-57,-68,-62,-57,0,0,0
869,-62,-62,-79,-100,-58,-72,-60,-67,-63,-70,0,0,0
870,-64,-57,-78,-78,-59,-61,-59,-68,-60,-71,0,0,0
871,-69,-64,-78,-70,-68,-63,-58,-65,-59,-67,0,0,0
872,-64,-61,-78,-77,-56,-58,-60,-69,-64,-72,0,0,0
873,-74,-71,-75,-73,-56,-61,-62,-100,-62,-73,0,0,0
874,-59,-63,-84,-78,-62,-83,-62,-70,-62,-59,0,0,0
875,-62,-60,-80,-100,-64,-73,-58,-61,-74,-59,0,0,0
876,-56,-64,-73,-77,-64,-67,-59,-61,-75,-77,0,0,0
877,-71,-58,-80,-76,-62,-61,-59,-64,-62,-59,0,0,0
878,-58,-61,-76,-86,-70,-68,-58,-69,-65,-62,0,0,0
879,-66,-55,-75,-76,-68,-63,-63,-64,-71,-69,0,0,0
880,-57,-55,-75,-71,-63,-66,-63,-64,-71,-64,0,0,0
881,-58,-49,-75,-70,-72,-61,-60,-64,-62,-66,0,0,0
882,-52,-62,-76,-69,-61,-64,-69,-63,-63,-63,0,0,0
883,-53,-52,-85,-75,-58,-63,-61,-65,-65,-65,0,0,0
884,-56,-53,-85,-79,-64,-64,-62,-66,-68,-71,0,0,0
885,-57,-57,-83,-69,-62,-62,-62,-65,-64,-62,0,0,0
886,-54,-50,-79,-79,-65,-65,-58,-64,-67,-63,0,0,0
887,-56,-51,-77,-69,-65,-63,-59,-70,-74,-73,0,0,0
888,-61,-52,-78,-74,-67,-67,-60,-64,-66,-70,0,0,0
889,-61,-55,-69,-74,-61,-61,-58,-66,-64,-67,0,0,0
890,-55,-51,-77,-77,-67,-70,-61,-68,-74,-75,0,0,0
891,-69,-55,-69,-76,-71,-65,-66,-71,-65,-67,0,0,0
892,-66,-51,-83,-76,-64,-61,-62,-100,-62,-64,0,0,0
893,-75,-57,-71,-67,-63,-64,-60,-64,-66,-63,0,0,0
894,-62,-56,-73,-65,-70,-72,-58,-65,-58,-67,0,0,0
895,-60,-52,-70,-67,-66,-68,-57,-65,-58,-72,0,0,0
896,-63,-71,-72,-100,-65,-68,-58,-65,-58,-77,0,0,0
897,-70,-59,-66,-66,-66,-75,-60,-68,-60,-65,0,0,0
898,-71,-66,-69,-69,-66,-71,-61,-68,-65,-71,0,0,0
899,-66,-100,-100,-100,-100,-72,-60,-69,-68,-66,0,0,0
900,-65,-56,-69,-66,-68,-65,-57,-70,-72,-68,0,0,0
901,-76,-59,-69,-74,-75,-66,-59,-74,-63,-74,0,0,0
